"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","까치마을","1993"," "," "," ","111,500","17","12","2021","중개거래","서울 강남구 서울 동작구","39.6","1","746","N"," ","11680"," ","수서동"
" ","청담파라곤Ⅱ2단지","2010"," "," "," ","320,000","20","12","2021","중개거래","서울 강남구","149.74","4","102-13","N"," ","11680"," ","청담동"
" ","도곡렉슬","2006"," "," "," ","435,000","15","12","2021","직거래"," ","134.9023","13","527","N"," ","11680"," ","도곡동"
" ","동부센트레빌","2005"," "," "," ","500,000","20","12","2021","중개거래","서울 강남구","161.47","13","670","N"," ","11680"," ","대치동"
" ","펜트힐루논현","2021"," ","22.07.04","O","108,000","30","12","2021","중개거래","서울 강남구","43.392","4","211-21","N"," ","11680"," ","논현동"
" ","래미안펜타빌","2007"," "," "," ","326,000","30","12","2021","중개거래","서울 강남구","138.54","20","713-7","N"," ","11680"," ","역삼동"
" ","아셈","2003"," "," "," ","248,000","30","12","2021","중개거래","서울 강남구","109.32","5","108-1","N"," ","11680"," ","삼성동"
" ","대우디오빌","2002"," "," "," ","83,000","30","12","2021","중개거래","서울 강남구","59.505","22","720-25","N"," ","11680"," ","역삼동"
" ","대림아크로빌","1999"," "," "," ","293,000","29","12","2021","중개거래","서울 강남구 서울 서대문구","172.467","8","467-6","N"," ","11680"," ","도곡동"
" ","타워팰리스2","2003"," "," "," ","407,000","24","12","2021","중개거래","서울 강남구","164.99","3","467-17","N"," ","11680"," ","도곡동"
" ","래미안라클래시","2021"," "," "," ","357,000","30","12","2021","중개거래","서울 강남구","84.98","27","189","N"," ","11680"," ","삼성동"
" ","미성2차","1987"," "," "," ","410,000","23","12","2021","중개거래","서울 강남구","140.9","13","397","N"," ","11680"," ","압구정동"
" ","디에이치아너힐즈","2019"," "," "," ","235,000","24","12","2021","중개거래","서울 강남구","59.7479","15","1281","N"," ","11680"," ","개포동"
" ","래미안청담로이뷰","1992"," "," "," ","380,000","23","12","2021","중개거래","서울 강남구","110.2","14","134","N"," ","11680"," ","청담동"
" ","래미안강남힐즈","2014"," "," "," ","195,500","25","12","2021","중개거래","서울 강남구","91.96","3","611","N"," ","11680"," ","자곡동"
" ","푸른마을아파트101동~111동","1994"," "," "," ","165,000","29","12","2021","중개거래","서울 강남구","59.76","10","719","N"," ","11680"," ","일원동"
" ","현대힐스테이트2단지","2008"," "," "," ","299,000","29","12","2021","중개거래","서울 강남구","84.236","16","50","N"," ","11680"," ","삼성동"
" ","현대비젼21","1999"," "," "," ","45,000","31","12","2021","중개거래","서울 강남구","32.65","18","467-19","N"," ","11680"," ","도곡동"
" ","현대3차(61~64동)","1976"," "," "," ","360,000","28","12","2021","중개거래","서울 강남구","82.5","10","443","N"," ","11680"," ","압구정동"
" ","청담신원아침도시마인","2013"," "," "," ","32,000","18","12","2021","중개거래","서울 강남구","27.7131","5","122-35","N"," ","11680"," ","청담동"
" ","래미안블레스티지","2019"," "," "," ","316,000","31","12","2021","중개거래","서울 강남구","84.94","16","1280","N"," ","11680"," ","개포동"
" ","역삼동하나빌","2002"," "," "," ","89,000","17","12","2021","중개거래","서울 강남구","50.47","7","681-26","N"," ","11680"," ","역삼동"
" ","현대1","1990"," "," "," ","193,000","27","12","2021","중개거래","서울 강남구","84.27","4","992","N"," ","11680"," ","대치동"
" ","삼익","1992"," "," "," ","180,000","20","12","2021","중개거래","서울 강남구","84.48","6","708","N"," ","11680"," ","수서동"
" ","프리마빌","2003"," "," "," ","120,000","30","12","2021","직거래"," ","140.73","5","727-11","N"," ","11680"," ","역삼동"
" ","대림아크로빌","1999"," "," "," ","335,000","13","12","2021","중개거래","서울 강남구","177.255","30","467-6","N"," ","11680"," ","도곡동"
" ","삼익","1992"," "," "," ","150,000","20","12","2021","중개거래","서울 강남구","49.2","13","708","N"," ","11680"," ","수서동"
" ","삼익","1992"," "," "," ","165,000","16","12","2021","중개거래","서울 강남구 서울 송파구","60","3","708","N"," ","11680"," ","수서동"
" ","까치마을","1993"," ","22.05.06","O","111,500","17","12","2021","중개거래","서울 강남구 서울 동작구","39.6","1","746","N"," ","11680"," ","수서동"
" ","대우아이빌멤버스(891-26)","2003"," "," "," ","33,500","13","12","2021","중개거래","서울 강남구","35.236","9","891-26","N"," ","11680"," ","대치동"
" ","삼익","1983"," "," "," ","211,000","28","12","2021","중개거래","서울 강남구","104.01","10","869","N"," ","11680"," ","도곡동"
" ","마일스디오빌","2004"," "," "," ","39,300","15","12","2021","중개거래","서울 강남구","36.29","5","58-2","N"," ","11680"," ","논현동"
" ","개포우성2","1984"," "," "," ","390,000","16","12","2021","중개거래","서울 강남구 서울 강북구","127.78","8","500","N"," ","11680"," ","대치동"
" ","동부센트레빌","2005"," ","22.02.07","O","500,000","20","12","2021","중개거래","서울 강남구","161.47","13","670","N"," ","11680"," ","대치동"
" ","래미안라클래시","2021"," "," "," ","310,000","12","12","2021","중개거래","서울 강남구","71.95","28","189","N"," ","11680"," ","삼성동"
" ","래미안대치팰리스","2015"," "," "," ","375,000","14","12","2021","중개거래","서울 강남구","94.49","4","1027","N"," ","11680"," ","대치동"
" ","미성2차","1987"," "," "," ","305,000","23","12","2021","중개거래","서울 강남구","74.4","9","397","N"," ","11680"," ","압구정동"
" ","테헤란로대우아이빌(891-6)","2004"," "," "," ","85,000","10","12","2021","중개거래","서울 강남구","59.83","6","891-6","N"," ","11680"," ","대치동"
" ","한보미도맨션1","1983"," "," "," ","382,000","13","12","2021","중개거래","서울 강남구","128.01","12","511","N"," ","11680"," ","대치동"
" ","한진로즈힐","2004"," "," "," ","178,000","14","12","2021","중개거래","서울 강남구","84.94","7","105-4","N"," ","11680"," ","논현동"
" ","한양2","1978"," "," "," ","450,000","4","12","2021","중개거래","서울 강남구","175.92","8","493","N"," ","11680"," ","압구정동"
" ","개포우성1","1983"," "," "," ","318,500","8","12","2021","중개거래","서울 강남구","84.81","12","503","N"," ","11680"," ","대치동"
" ","대림역삼","1997"," "," "," ","207,000","10","12","2021","중개거래","서울 강남구 서울 송파구","84.96","12","761-10","N"," ","11680"," ","역삼동"
" ","청담자이","2011"," "," "," ","362,500","27","12","2021","중개거래","서울 강남구","89.356","34","134-38","N"," ","11680"," ","청담동"
" ","삼환(101동)","1999"," "," "," ","198,000","8","12","2021","중개거래","서울 강남구","114.97","4","10","N"," ","11680"," ","청담동"
" ","디에이치자이개포","2021"," "," "," ","240,000","22","12","2021","중개거래","경기 성남수정구 서울 강남구","84.64","13","743","N"," ","11680"," ","일원동"
" ","한화진넥스빌","2001"," "," "," ","58,500","4","12","2021","중개거래","서울 강남구 서울 서초구","51.08","17","706-20","N"," ","11680"," ","역삼동"
" ","아이파크","2004"," "," "," ","700,000","25","12","2021","중개거래","서울 강남구","195.388","3","87","N"," ","11680"," ","삼성동"
" ","신동아","1992"," "," "," ","130,000","6","12","2021","중개거래","서울 강남구","39.51","15","736","N"," ","11680"," ","수서동"
" ","개포6차우성아파트1동~8동","1987"," "," "," ","215,000","4","12","2021","중개거래","서울 강남구","79.97","3","658-1","N"," ","11680"," ","개포동"
" ","세곡푸르지오","2012"," "," "," ","158,000","3","12","2021","중개거래","서울 강남구","84.84","1","533","N"," ","11680"," ","세곡동"
" ","동부센트레빌","1998"," "," "," ","197,000","4","12","2021","중개거래","서울 강남구","59.97","18","716","N"," ","11680"," ","역삼동"
" ","타워팰리스3","2004"," "," "," ","387,000","1","12","2021","중개거래","서울 강남구","163.567","35","467-29","N"," ","11680"," ","도곡동"
" ","삼익대청아파트","1992"," "," "," ","150,000","11","12","2021","중개거래","서울 강남구","39.53","4","12","N"," ","11680"," ","개포동"
" ","테헤란아이파크","2014"," "," "," ","249,000","4","12","2021","중개거래","서울 강남구","70.8333","5","709-5","N"," ","11680"," ","역삼동"
" ","역삼래미안","2005"," "," "," ","205,000","18","12","2021","중개거래","서울 강남구","59.4","14","757","N"," ","11680"," ","역삼동"
" ","압구정대원칸타빌아파트","2001"," "," "," ","150,000","5","12","2021","중개거래","서울 강남구","59.73","12","659","N"," ","11680"," ","신사동"
" ","현대까르띠에710","2001"," "," "," ","335,000","5","12","2021","중개거래","서울 강남구","171.944","4","710","N"," ","11680"," ","역삼동"
