"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","신동아","1986"," "," "," ","182,000","31","5","2021"," "," ","127.33","5","44","N"," ","11740"," ","명일동"
" ","고덕주공9","1985"," "," "," ","142,000","29","5","2021"," "," ","83.21","2","257","N"," ","11740"," ","명일동"
" ","선사현대아파트","2000"," "," "," ","119,800","29","5","2021"," "," ","72.85","6","509","N"," ","11740"," ","암사동"
" ","롯데캐슬퍼스트","2008"," "," "," ","124,000","31","5","2021"," "," ","59.99","16","414-2","N"," ","11740"," ","암사동"
" ","한신아파트","1991"," "," "," ","42,000","28","5","2021"," "," ","37.1","2","237","N"," ","11740"," ","천호동"
" ","롯데캐슬퍼스트","2008"," "," "," ","126,500","29","5","2021"," "," ","59.99","9","414-2","N"," ","11740"," ","암사동"
" ","중명","1999"," "," "," ","65,000","29","5","2021"," "," ","84.58","5","434-4","N"," ","11740"," ","성내동"
" ","성내동대성","2003"," "," "," ","89,000","11","5","2021"," "," ","84.98","4","51","N"," ","11740"," ","성내동"
" ","래미안힐스테이트고덕","2016"," "," "," ","189,000","30","5","2021"," "," ","97.26","11","688","N"," ","11740"," ","고덕동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,500","26","5","2021"," "," ","14.0075","9","548-4","N"," ","11740"," ","성내동"
" ","길동우성","1994"," "," "," ","104,000","28","5","2021"," "," ","84.75","4","400","N"," ","11740"," ","길동"
" ","금호아파트","1987"," "," "," ","43,000","31","5","2021"," "," ","27.61","9","44","N"," ","11740"," ","천호동"
" ","명일지에스아파트","1999"," "," "," ","86,000","29","5","2021"," "," ","59.79","4","332","N"," ","11740"," ","명일동"
" ","강동큐브(2차)","2013"," "," "," ","13,000","31","5","2021"," "," ","15.12","7","415-13","N"," ","11740"," ","길동"
" ","천호e-편한세상","2005"," "," "," ","117,000","27","5","2021"," "," ","113.86","5","333-55","N"," ","11740"," ","천호동"
" ","프라이어팰리스","2007"," "," "," ","153,000","22","5","2021"," "," ","84.988","15","413","N"," ","11740"," ","암사동"
" ","케이엔피로얄","2004"," "," "," ","66,000","22","5","2021"," "," ","79.77","3","511-2","N"," ","11740"," ","둔촌동"
" ","고덕자이","2021"," "," "," ","131,000","29","5","2021"," "," ","59.9398","10","521","N"," ","11740"," ","상일동"
" ","명일우성","1986"," "," "," ","173,800","21","5","2021"," "," ","133.65","11","42","N"," ","11740"," ","명일동"
" ","고덕 아이파크","2011"," ","21.10.01","O","129,000","26","5","2021"," "," ","59.99","11","499","N"," ","11740"," ","고덕동"
" ","하이브2","2013"," "," "," ","15,500","29","5","2021"," "," ","15.3","9","164-70","N"," ","11740"," ","천호동"
" ","대명","1987"," "," "," ","65,000","29","5","2021"," "," ","48.45","5","447-8","N"," ","11740"," ","암사동"
" ","한강리치팰리스","2010"," "," "," ","72,050","31","5","2021"," "," ","84.86","6","516-2","N"," ","11740"," ","암사동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,300","26","5","2021"," "," ","14.0075","7","548-4","N"," ","11740"," ","성내동"
" ","삼익파크맨션","1982"," "," "," ","95,000","27","5","2021"," "," ","63.32","2","53","N"," ","11740"," ","길동"
" ","강동LG자이","2003"," "," "," ","127,000","22","5","2021"," "," ","84.88","10","474","N"," ","11740"," ","길동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","22,300","28","5","2021"," "," ","14.04","4","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,900","21","5","2021"," "," ","14.0675","12","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,500","28","5","2021"," "," ","14.0075","5","548-4","N"," ","11740"," ","성내동"
" ","집앤사비카","2020"," "," "," ","39,600","16","5","2021"," "," ","28.74","3","419","N"," ","11740"," ","성내동"
" ","집앤사비카","2020"," "," "," ","28,600","16","5","2021"," "," ","15.95","10","419","N"," ","11740"," ","성내동"
" ","집앤사비카","2020"," "," "," ","28,200","16","5","2021"," "," ","18.45","6","419","N"," ","11740"," ","성내동"
" ","집앤사비카","2020"," "," "," ","29,500","16","5","2021"," "," ","16.66","2","419","N"," ","11740"," ","성내동"
" ","집앤사비카","2020"," "," "," ","27,900","31","5","2021"," "," ","18.45","5","419","N"," ","11740"," ","성내동"
" ","집앤사비카","2020"," "," "," ","39,300","21","5","2021"," "," ","28.74","2","419","N"," ","11740"," ","성내동"
" ","천호e-편한세상","2005"," "," "," ","114,000","24","5","2021"," "," ","84.95","13","333-55","N"," ","11740"," ","천호동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,100","28","5","2021"," "," ","14.04","7","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," ","21.08.20","O","23,300","28","5","2021"," "," ","14.04","9","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","22,900","28","5","2021"," "," ","14.04","6","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","22,500","28","5","2021"," "," ","14.04","6","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,300","28","5","2021"," "," ","14.0675","6","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,300","28","5","2021"," "," ","14.0075","5","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","22,500","28","5","2021"," "," ","14.04","5","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,300","28","5","2021"," "," ","14.0675","5","548-4","N"," ","11740"," ","성내동"
" ","삼환","1992"," "," "," ","138,000","17","5","2021"," "," ","84.92","14","47","N"," ","11740"," ","명일동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,300","28","5","2021"," "," ","14.0075","6","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","22,700","28","5","2021"," "," ","14.04","7","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,300","28","5","2021"," "," ","14.0675","4","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,500","28","5","2021"," "," ","14.0675","4","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","22,700","28","5","2021"," "," ","14.04","4","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,500","28","5","2021"," "," ","14.0075","4","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,300","28","5","2021"," "," ","14.0075","4","548-4","N"," ","11740"," ","성내동"
" ","에스아이팰리스센트럴성내","2021"," "," "," ","23,500","13","5","2021"," "," ","14.0675","9","548-4","N"," ","11740"," ","성내동"
" ","강일리버파크2단지","2009"," "," "," ","105,000","29","5","2021"," "," ","84.83","7","668","N"," ","11740"," ","강일동"
" ","선사현대아파트","2000"," "," "," ","141,000","22","5","2021"," "," ","82.94","15","509","N"," ","11740"," ","암사동"
" ","우성103동","2004"," "," "," ","64,500","29","5","2021"," "," ","84.61","1","312-165","N"," ","11740"," ","명일동"
" ","선사현대아파트","2000"," "," "," ","105,000","22","5","2021"," "," ","58.68","10","509","N"," ","11740"," ","암사동"
