"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","삼각산아이원","2003"," "," "," ","85,700","31","8","2021"," "," ","84.705","2","1357","N"," ","11305"," ","미아동"
" ","기산그린","2000"," "," "," ","53,000","7","8","2021"," "," ","59.94","3","191","N"," ","11305"," ","번동"
" ","번동금호어울림","1998"," "," "," ","60,000","31","8","2021"," "," ","59.43","15","656","N"," ","11305"," ","번동"
" ","꿈의숲롯데캐슬","2017"," "," "," ","115,000","31","8","2021"," "," ","84.98","10","4","N"," ","11305"," ","미아동"
" ","JKapartment","2020"," "," "," ","41,000","31","8","2021"," "," ","58.36","5","130-43","N"," ","11305"," ","수유동"
" ","삼성래미안트리베라2단지","2010"," "," "," ","89,500","28","8","2021"," "," ","58.99","11","812","N"," ","11305"," ","미아동"
" ","극동","1992"," "," "," ","64,500","23","8","2021"," "," ","84.99","10","553-61","N"," ","11305"," ","수유동"
" ","세영","2008"," "," "," ","25,500","17","8","2021"," "," ","49.88","2","403-17","N"," ","11305"," ","수유동"
" ","주공1단지","1991"," "," "," ","72,000","31","8","2021"," "," ","49.94","5","242","N"," ","11305"," ","번동"
" ","한일","1990"," "," "," ","43,000","31","8","2021"," "," ","54.99","1","258-732","N"," ","11305"," ","미아동"
" ","두산위브트레지움","2011"," "," "," ","103,000","26","8","2021"," "," ","84.97","2","811","N"," ","11305"," ","미아동"
" ","현대맨션(52-27)","2004"," "," "," ","40,000","24","8","2021"," "," ","63.21","4","52-27","N"," ","11305"," ","수유동"
" ","수유현대","2000"," "," "," ","40,000","27","8","2021"," "," ","51.38","2","729","N"," ","11305"," ","수유동"
" ","에스케이북한산시티","2004"," "," "," ","95,000","26","8","2021"," "," ","114.85","5","1353","N"," ","11305"," ","미아동"
" ","두산위브트레지움","2011"," "," "," ","83,000","28","8","2021"," "," ","59.99","1","811","N"," ","11305"," ","미아동"
" ","미아동부센트레빌","2006"," "," "," ","70,000","20","8","2021"," "," ","59.96","8","474","N"," ","11305"," ","미아동"
" ","수유벽산1차","1993"," "," "," ","83,900","17","8","2021"," "," ","122.58","2","205","N"," ","11305"," ","수유동"
" ","래미안트리베라1단지","2010"," "," "," ","126,500","14","8","2021"," "," ","114.98","20","813","N"," ","11305"," ","미아동"
" ","삼성래미안트리베라2단지","2010"," "," "," ","84,600","21","8","2021"," "," ","59.38","1","812","N"," ","11305"," ","미아동"
