"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","강서힐스테이트","2015"," "," "," ","144,800","28","9","2021"," "," ","84.99","14","1165","N"," ","11500"," ","화곡동"
" ","마곡엠밸리7단지","2014"," "," "," ","175,500","27","9","2021"," "," ","84.91","11","743-4","N"," ","11500"," ","마곡동"
" ","장미","1994"," "," "," ","53,000","11","9","2021"," "," ","62.4","4","61-2","N"," ","11500"," ","공항동"
" ","장미","1994"," "," "," ","63,000","2","9","2021"," "," ","81.82","3","61-2","N"," ","11500"," ","공항동"
" ","스위트드림아파트","2019"," "," "," ","46,500","28","9","2021"," "," ","50.38","7","1168","N"," ","11500"," ","화곡동"
" ","대동황토방","2000"," "," "," ","104,000","29","9","2021"," "," ","84.95","14","631-9","N"," ","11500"," ","등촌동"
" ","동아3","1999"," "," "," ","88,250","29","9","2021"," "," ","59.7","19","258-1","N"," ","11500"," ","염창동"
" ","태승훼미리2","2004"," "," "," ","69,500","29","9","2021"," "," ","84.83","1","685","N"," ","11500"," ","내발산동"
" ","롯데1차","2002"," "," "," ","67,700","29","9","2021"," "," ","55.363","13","728","N"," ","11500"," ","내발산동"
" ","가양2단지(성지)","1992"," "," "," ","84,000","30","9","2021"," "," ","39.6","4","1461","N"," ","11500"," ","가양동"
" ","마곡엠벨리(15단지)","2014"," "," "," ","150,000","23","9","2021"," "," ","84.95","3","751","N"," ","11500"," ","마곡동"
" ","근상프리즘(957-1)","2003"," "," "," ","47,500","29","9","2021"," "," ","82.65","4","957-1","N"," ","11500"," ","화곡동"
" ","성재센트리움아파트(343-35)","2015"," "," "," ","25,300","28","9","2021"," "," ","25.52","9","343-35","N"," ","11500"," ","화곡동"
" ","마곡엠밸리7단지","2014"," "," "," ","199,900","28","9","2021"," "," ","114.86","5","743-4","N"," ","11500"," ","마곡동"
" ","한보구암마을","1999"," "," "," ","82,000","24","9","2021"," "," ","59.85","17","1495","N"," ","11500"," ","가양동"
