"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","벽산블루밍","2005"," "," "," ","80,000","25","1","2021"," "," ","59.99","18","1718","N"," ","11620"," ","봉천동"
" ","신림푸르지오","2005"," "," "," ","105,000","17","1","2021"," "," ","114.84","11","1730","N"," ","11620"," ","신림동"
" ","브라운스톤관악","2005"," "," "," ","99,900","30","1","2021"," "," ","114.98","14","1721","N"," ","11620"," ","봉천동"
" ","e편한세상서울대입구1단지","2019"," "," "," ","90,000","28","1","2021"," "," ","59.96","7","1730","N"," ","11620"," ","봉천동"
" ","LIG대학마을(건영아파트3차)","1996"," "," "," ","62,000","30","1","2021"," "," ","58.9","6","1703-1","N"," ","11620"," ","신림동"
" ","신림2차현대","1996"," "," "," ","64,000","26","1","2021"," "," ","59.91","8","551-9","N"," ","11620"," ","신림동"
" ","봉천동아","2000"," "," "," ","90,500","30","1","2021"," "," ","84.87","17","1703","N"," ","11620"," ","봉천동"
" ","쎈트앤빌2","2002"," "," "," ","63,500","27","1","2021"," "," ","96.65","4","602-192","N"," ","11620"," ","남현동"
" ","신림푸르지오","2005"," "," "," ","94,800","30","1","2021"," "," ","84.79","11","1730","N"," ","11620"," ","신림동"
" ","두산","2000"," "," "," ","89,500","30","1","2021"," "," ","59.92","17","1708","N"," ","11620"," ","봉천동"
" ","LIG대학마을(건영아파트3차)","1996"," "," "," ","70,000","27","1","2021"," "," ","69.17","4","1703-1","N"," ","11620"," ","신림동"
" ","신림2차현대","1996"," "," "," ","64,000","30","1","2021"," "," ","59.91","14","551-9","N"," ","11620"," ","신림동"
" ","초원","1999"," "," "," ","39,700","24","1","2021"," "," ","59.93","7","1712","N"," ","11620"," ","신림동"
" ","관악푸르지오","2004"," "," "," ","84,500","26","1","2021"," "," ","59.58","15","1717","N"," ","11620"," ","봉천동"
" ","인헌","1998"," "," "," ","51,500","22","1","2021"," "," ","59.75","3","1725","N"," ","11620"," ","봉천동"
