"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","현대강변","1991"," "," "," ","130,000","7","9","2021"," "," ","82.08","7","673","N"," ","11215"," ","자양동"
" ","자양훼밀리","2004"," "," "," ","78,000","18","9","2021"," "," ","84.52","2","678-8","N"," ","11215"," ","자양동"
" ","더샵스타시티","2007"," "," "," ","189,000","28","9","2021"," "," ","96.98","29","227-7","N"," ","11215"," ","자양동"
" ","구의현대2단지","1996"," "," "," ","168,500","25","9","2021"," "," ","84.88","17","611","N"," ","11215"," ","구의동"
" ","구의청정","2004"," "," "," ","50,000","25","9","2021"," "," ","84.84","1","226-12","N"," ","11215"," ","구의동"
" ","우성3","1989"," "," "," ","170,000","23","9","2021"," "," ","84.91","10","516","N"," ","11215"," ","자양동"
" ","자양10차현대홈타운","2002"," "," "," ","145,000","24","9","2021"," "," ","84.46","4","792","N"," ","11215"," ","자양동"
" ","성원쌍떼빌","2003"," "," "," ","56,000","28","9","2021"," "," ","79.02","5","29-1","N"," ","11215"," ","구의동"
" ","욱현아파트","2003"," "," "," ","85,500","6","9","2021"," "," ","127.76","2","56-22","N"," ","11215"," ","구의동"
" ","자양7차현대홈타운","2001"," "," "," ","127,000","18","9","2021"," "," ","59.94","13","788","N"," ","11215"," ","자양동"
" ","현대파크빌","2000"," "," "," ","152,600","29","9","2021"," "," ","59.55","18","577","N"," ","11215"," ","광장동"
" ","광진We’vePark","2008"," "," "," ","149,500","27","9","2021"," "," ","136.95","11","503","N"," ","11215"," ","군자동"
" ","구의현대6단지","1994"," "," "," ","144,000","17","9","2021"," "," ","84.92","19","610","N"," ","11215"," ","구의동"
" ","현대파크빌","2000"," "," "," ","174,500","17","9","2021"," "," ","84.81","24","577","N"," ","11215"," ","광장동"
" ","자양훼밀리","2004"," ","21.12.03","O","78,000","18","9","2021"," "," ","84.52","2","678-8","N"," ","11215"," ","자양동"
" ","솔렌시아2","2015"," "," "," ","34,800","13","9","2021"," "," ","33.17","8","236-25","N"," ","11215"," ","구의동"
" ","중곡1단지","1976"," "," "," ","50,000","14","9","2021"," "," ","48.46","3","191-77","N"," ","11215"," ","중곡동"
" ","현대파크빌","2000"," "," "," ","180,000","18","9","2021"," "," ","84.81","17","577","N"," ","11215"," ","광장동"
" ","광진We’vePark","2008"," "," "," ","140,000","27","9","2021"," "," ","136.95","9","503","N"," ","11215"," ","군자동"
" ","현대강변","1991"," ","21.12.20","O","130,000","7","9","2021"," "," ","82.08","7","673","N"," ","11215"," ","자양동"
" ","우성3","1989"," "," "," ","138,000","14","9","2021"," "," ","72.34","1","516","N"," ","11215"," ","자양동"
" ","현대파크빌","2000"," "," "," ","165,000","14","9","2021"," "," ","84.81","10","577","N"," ","11215"," ","광장동"
" ","현대3","1996"," "," "," ","119,000","7","9","2021"," "," ","84.9","2","670","N"," ","11215"," ","자양동"
" ","금호베스트빌","2001"," "," "," ","144,000","11","9","2021"," "," ","84.91","6","578","N"," ","11215"," ","광장동"
" ","현대프라임","1997"," "," "," ","172,000","9","9","2021"," "," ","84.99","11","631-1","N"," ","11215"," ","구의동"
" ","현대프라임","1997"," "," "," ","230,000","11","9","2021"," "," ","126.66","9","631-1","N"," ","11215"," ","구의동"
" ","현대8(803동)","1996"," "," "," ","172,000","11","9","2021"," "," ","84.95","16","569","N"," ","11215"," ","광장동"
" ","구의현대2단지","1996"," "," "," ","159,000","8","9","2021"," "," ","84.75","23","611","N"," ","11215"," ","구의동"
" ","청구","1996"," "," "," ","144,500","11","9","2021"," "," ","84.86","19","566","N"," ","11215"," ","광장동"
" ","청구","1996"," "," "," ","107,000","8","9","2021"," "," ","59.95","1","566","N"," ","11215"," ","광장동"
" ","광진코지웰","2014"," "," "," ","12,600","30","9","2021"," "," ","14","4","113-1","N"," ","11215"," ","화양동"
" ","현대파크빌","2000"," "," "," ","140,700","4","9","2021"," "," ","59.76","7","577","N"," ","11215"," ","광장동"
" ","자양삼성","1999"," "," "," ","101,000","4","9","2021"," "," ","59.76","3","787","N"," ","11215"," ","자양동"
" ","현대3","1996"," "," "," ","129,000","9","9","2021"," "," ","84.9","16","670","N"," ","11215"," ","자양동"
" ","아크로리버","2004"," ","22.09.20","O","121,000","28","9","2021"," "," ","132.0263","24","589-10","N"," ","11215"," ","구의동"
" ","자양8차현대홈타운","2002"," "," "," ","140,500","6","9","2021"," "," ","80.47","4","789","N"," ","11215"," ","자양동"
" ","광장현대9단지","1999"," "," "," ","169,000","11","9","2021"," "," ","84.96","14","576","N"," ","11215"," ","광장동"
" ","광장힐스테이트","2012"," "," "," ","265,000","6","9","2021"," "," ","130.17","12","582","N"," ","11215"," ","광장동"
" ","세양","2002"," "," "," ","146,000","7","9","2021"," "," ","84.32","6","658","N"," ","11215"," ","구의동"
