"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","동아3","2000"," "," "," ","138,800","19","8","2021"," "," ","84.99","3","645","N"," ","11530"," ","신도림동"
" ","대림역포스큐","2015"," "," "," ","12,900","28","8","2021"," "," ","14.579","17","106-2","N"," ","11530"," ","구로동"
" ","현대홈타운스위트","2004"," "," "," ","74,000","21","8","2021"," "," ","84.9852","2","233","N"," ","11530"," ","항동"
" ","미성","1987"," "," "," ","68,000","28","8","2021"," "," ","37.91","4","290","N"," ","11530"," ","신도림동"
" ","청실","1987"," "," "," ","64,000","23","8","2021"," "," ","76.08","14","175-8","N"," ","11530"," ","개봉동"
" ","길훈","1986"," "," "," ","40,000","17","8","2021"," "," ","53.94","2","150-42","N"," ","11530"," ","오류동"
" ","삼성래미안","2004"," "," "," ","84,000","31","8","2021"," "," ","58.136","20","256-1","N"," ","11530"," ","구로동"
" ","청솔우성","2000"," "," "," ","68,000","24","8","2021"," "," ","84.66","21","329","N"," ","11530"," ","고척동"
" ","대림역포스큐","2015"," ","21.10.26","O","13,000","28","8","2021"," "," ","14.579","17","106-2","N"," ","11530"," ","구로동"
" ","디큐브시티","2011"," "," "," ","153,000","31","8","2021"," "," ","84.96","27","692","N"," ","11530"," ","신도림동"
" ","대림3","2001"," "," "," ","120,000","30","8","2021"," "," ","84.51","18","691","N"," ","11530"," ","신도림동"
" ","현대홈타운","2001"," "," "," ","75,700","30","8","2021"," "," ","59.49","12","480","N"," ","11530"," ","개봉동"
" ","동부골든","1998"," "," "," ","75,000","21","8","2021"," "," ","113.43","10","338","N"," ","11530"," ","오류동"
" ","오류동금호어울림","2006"," "," "," ","65,800","28","8","2021"," "," ","59.87","14","347","N"," ","11530"," ","오류동"
" ","온수힐스테이트","2010"," "," "," ","78,000","19","8","2021"," "," ","59.96","4","155","N"," ","11530"," ","온수동"
" ","한마을","1999"," "," "," ","74,400","28","8","2021"," "," ","59.57","1","476","N"," ","11530"," ","개봉동"
" ","다청림(356)","2013"," "," "," ","27,700","26","8","2021"," "," ","36.01","3","356","N"," ","11530"," ","오류동"
" ","한마을","1999"," "," "," ","77,900","28","8","2021"," "," ","59.57","4","476","N"," ","11530"," ","개봉동"
" ","라인","1995"," "," "," ","49,000","25","8","2021"," "," ","59.52","13","334","N"," ","11530"," ","오류동"
" ","현대","2001"," ","21.10.25","O","88,000","26","8","2021"," "," ","84.96","17","481","N"," ","11530"," ","개봉동"
" ","중앙하이츠","1987"," "," "," ","81,000","26","8","2021"," "," ","79.97","15","685-124","N"," ","11530"," ","구로동"
" ","한신휴플러스(1280-0)","2007"," "," "," ","80,000","27","8","2021"," "," ","58.03","6","1280","N"," ","11530"," ","구로동"
" ","삼익(1단지)","2001"," "," "," ","76,000","21","8","2021"," "," ","114.9","5","330","N"," ","11530"," ","고척동"
" ","미성","1987"," "," "," ","64,700","27","8","2021"," "," ","37.91","3","290","N"," ","11530"," ","신도림동"
" ","미성","1987"," "," "," ","73,000","25","8","2021"," "," ","37.91","12","290","N"," ","11530"," ","신도림동"
" ","청실","1987"," ","21.10.12","O","64,000","23","8","2021"," "," ","76.08","14","175-8","N"," ","11530"," ","개봉동"
" ","한일유앤아이","2005"," "," "," ","75,800","27","8","2021"," "," ","84.98","18","337","N"," ","11530"," ","고척동"
" ","(739-29)","1997"," "," "," ","26,000","27","8","2021"," "," ","47.95","4","739-29","N"," ","11530"," ","구로동"
" ","우성5","1994"," "," "," ","105,700","21","8","2021"," "," ","79.56","2","638","N"," ","11530"," ","신도림동"
" ","한마을","1999"," "," "," ","84,500","26","8","2021"," "," ","59.57","15","476","N"," ","11530"," ","개봉동"
" ","구로두산위브","2006"," "," "," ","71,000","30","8","2021"," "," ","50.14","4","1278","N"," ","11530"," ","구로동"
" ","동아2","2000"," "," "," ","134,750","17","8","2021"," "," ","84.908","17","644","N"," ","11530"," ","신도림동"
" ","우성2","1996"," "," "," ","120,000","28","8","2021"," "," ","84.82","6","639","N"," ","11530"," ","신도림동"
" ","한마을","1999"," "," "," ","80,000","25","8","2021"," "," ","59.57","12","476","N"," ","11530"," ","개봉동"
" ","고척LIG리가2차","2009"," "," "," ","93,000","21","8","2021"," "," ","59.95","10","340-1","N"," ","11530"," ","고척동"
" ","동보","1998"," "," "," ","43,000","23","8","2021"," "," ","59.72","5","337","N"," ","11530"," ","오류동"
" ","신원프라자","1997"," "," "," ","45,000","7","8","2021"," "," ","59.97","6","324","N"," ","11530"," ","고척동"
" ","삼호","1996"," "," "," ","75,900","20","8","2021"," "," ","84.88","10","471","N"," ","11530"," ","개봉동"
" ","영화아이닉스","2005"," "," "," ","65,000","29","8","2021"," "," ","84.98","4","488","N"," ","11530"," ","개봉동"
" ","경남아너스빌","2003"," "," "," ","80,000","15","8","2021"," "," ","84.91","3","344","N"," ","11530"," ","오류동"
" ","영화","1998"," "," "," ","66,000","28","8","2021"," "," ","59.78","21","475","N"," ","11530"," ","개봉동"
" ","우성3","1993"," "," "," ","122,000","28","8","2021"," "," ","84.75","14","637","N"," ","11530"," ","신도림동"
" ","천왕이펜하우스6단지","2011"," "," "," ","79,800","28","8","2021"," "," ","84.97","9","275","N"," ","11530"," ","천왕동"
" ","중앙하이츠(1269)","2001"," "," "," ","92,500","29","8","2021"," "," ","82.3019","11","1269","N"," ","11530"," ","구로동"
" ","신도림현대","1994"," "," "," ","94,600","21","8","2021"," "," ","80.01","15","560","N"," ","11530"," ","구로동"
" ","극동","1984"," "," "," ","63,000","20","8","2021"," "," ","90.98","3","314","N"," ","11530"," ","구로동"
" ","(798-21)","1984"," "," "," ","22,500","28","8","2021"," "," ","40.68","4","798-21","N"," ","11530"," ","구로동"
" ","서울가든","1989"," "," "," ","58,000","15","8","2021"," "," ","54.61","3","141-1","N"," ","11530"," ","고척동"
" ","구일우성","1998"," "," "," ","85,900","28","8","2021"," "," ","84.49","13","1259","N"," ","11530"," ","구로동"
" ","길훈","1986"," "," "," ","29,000","31","8","2021"," "," ","53.94","1","150-42","N"," ","11530"," ","오류동"
" ","한신","1988"," "," "," ","49,900","28","8","2021"," "," ","35.277","5","642-9","N"," ","11530"," ","구로동"
" ","극동","1984"," "," "," ","51,000","23","8","2021"," "," ","55.57","11","314","N"," ","11530"," ","구로동"
" ","신성은하수","1997"," "," "," ","109,500","26","8","2021"," "," ","84.42","11","640","N"," ","11530"," ","신도림동"
" ","이좋은집","2005"," "," "," ","19,800","20","8","2021"," "," ","36.69","6","46-1","N"," ","11530"," ","오류동"
" ","우성3","1993"," ","21.09.14","O","122,000","28","8","2021"," "," ","84.75","14","637","N"," ","11530"," ","신도림동"
" ","오류동휘버스","2006"," "," "," ","40,000","22","8","2021"," "," ","79.92","10","31-4","N"," ","11530"," ","오류동"
" ","거성푸르뫼","1993"," "," "," ","69,000","16","8","2021"," "," ","84.96","14","60-101","N"," ","11530"," ","개봉동"
