"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","남서울힐스테이트","2014"," "," "," ","100,000","24","4","2021"," "," ","84.697","23","1026","N"," ","11545"," ","시흥동"
" ","가산지웰에스테이트2차","2018"," "," "," ","17,000","27","4","2021"," "," ","14.12","6","143-6","N"," ","11545"," ","가산동"
" ","관악산벽산타운5","2004"," "," "," ","68,000","28","4","2021"," "," ","84.97","20","1013","N"," ","11545"," ","시흥동"
" ","금천롯데캐슬골드파크1차","2016"," "," "," ","98,500","24","4","2021"," "," ","59.9384","24","1147","N"," ","11545"," ","독산동"
" ","금강","2000"," "," "," ","55,300","26","4","2021"," "," ","84.65","1","1008","N"," ","11545"," ","시흥동"
" ","라이프","1996"," "," "," ","50,000","17","4","2021"," "," ","84.74","17","1131","N"," ","11545"," ","독산동"
" ","남서울건영2","1989"," "," "," ","37,000","23","4","2021"," "," ","41.34","9","384-12","N"," ","11545"," ","시흥동"
" ","동심","2003"," "," "," ","32,500","28","4","2021"," "," ","48.1749","7","184-4","N"," ","11545"," ","독산동"
" ","한아101(994-33)","2004"," "," "," ","45,000","26","4","2021"," "," ","84.87","3","994-33","N"," ","11545"," ","독산동"
" ","벽산","2000"," "," "," ","54,500","24","4","2021"," "," ","84.99","14","1010","N"," ","11545"," ","시흥동"
" ","현대(209)","1996"," "," "," ","50,000","26","4","2021"," "," ","82.53","15","209","N"," ","11545"," ","시흥동"
" ","가산지웰에스테이트","2013"," "," "," ","14,400","29","4","2021"," "," ","15.96","7","140-9","N"," ","11545"," ","가산동"
" ","시흥(817-29)","1975"," "," "," ","17,000","17","4","2021"," "," ","39.83","1","817-29","N"," ","11545"," ","시흥동"
" ","덕산","1995"," ","21.06.04","O","41,200","17","4","2021"," "," ","59.97","10","148-1","N"," ","11545"," ","가산동"
" ","독산주공14단지","1990"," "," "," ","42,500","24","4","2021"," "," ","44.94","11","1088","N"," ","11545"," ","독산동"
" ","금천롯데캐슬골드파크1차","2016"," "," "," ","100,000","28","4","2021"," "," ","59.9384","20","1147","N"," ","11545"," ","독산동"
" ","남서울힐스테이트","2014"," "," "," ","81,000","19","4","2021"," "," ","59.817","19","1026","N"," ","11545"," ","시흥동"
" ","금광","2004"," "," "," ","54,000","28","4","2021"," "," ","59.7161","7","1014","N"," ","11545"," ","시흥동"
" ","시흥동월드메르디앙","2006"," "," "," ","53,500","18","4","2021"," "," ","82.81","1","806","N"," ","11545"," ","시흥동"
" ","남서울건영2","1989"," "," "," ","65,000","17","4","2021"," "," ","84.82","14","384-12","N"," ","11545"," ","시흥동"
" ","관악산벽산타운5","2004"," "," "," ","62,800","22","4","2021"," "," ","84.97","2","1013","N"," ","11545"," ","시흥동"
" ","남서울건영2","1989"," "," "," ","50,000","22","4","2021"," "," ","61.15","6","384-12","N"," ","11545"," ","시흥동"
" ","예전이룸(965-1)","2003"," "," "," ","33,000","22","4","2021"," "," ","49.154","1","965-1","N"," ","11545"," ","독산동"
" ","독산주공14단지","1990"," "," "," ","39,990","24","4","2021"," "," ","44.89","2","1088","N"," ","11545"," ","독산동"
" ","벽산","2000"," "," "," ","41,000","25","4","2021"," "," ","59.94","1","1010","N"," ","11545"," ","시흥동"
" ","시흥동월드메르디앙","2006"," "," "," ","49,800","13","4","2021"," "," ","59.88","7","806","N"," ","11545"," ","시흥동"
" ","관악산벽산타운5","2004"," "," "," ","66,300","24","4","2021"," "," ","84.97","14","1013","N"," ","11545"," ","시흥동"
" ","산호시티빌","2003"," "," "," ","45,000","20","4","2021"," "," ","55.98","8","999-1","N"," ","11545"," ","시흥동"
" ","독산주공14단지","1990"," "," "," ","44,000","15","4","2021"," "," ","44.94","8","1088","N"," ","11545"," ","독산동"
" ","관악산벽산타운5","2004"," "," "," ","71,000","24","4","2021"," "," ","114.84","20","1013","N"," ","11545"," ","시흥동"
" ","남서울힐스테이트","2014"," ","21.08.17","O","100,000","24","4","2021"," "," ","84.697","23","1026","N"," ","11545"," ","시흥동"
" ","와이즈플레이스","2012"," "," "," ","8,750","9","4","2021"," "," ","14.22","18","882-61","N"," ","11545"," ","시흥동"
" ","벽산","2000"," "," "," ","59,000","30","4","2021"," "," ","84.99","11","1010","N"," ","11545"," ","시흥동"
" ","경남아파트","1998"," "," "," ","43,000","27","4","2021"," "," ","58.32","3","820-12","N"," ","11545"," ","시흥동"
" ","금천롯데캐슬골드파크1차","2016"," "," "," ","127,000","28","4","2021"," "," ","84.8114","21","1147","N"," ","11545"," ","독산동"
" ","관악산벽산타운5","2004"," "," "," ","64,000","30","4","2021"," "," ","84.97","14","1013","N"," ","11545"," ","시흥동"
" ","예전이룸(965-1)","2003"," "," "," ","45,000","10","4","2021"," "," ","82.395","3","965-1","N"," ","11545"," ","독산동"
" ","벽산","2000"," "," "," ","46,700","14","4","2021"," "," ","59.94","14","1010","N"," ","11545"," ","시흥동"
" ","금강","2000"," "," "," ","48,800","22","4","2021"," "," ","59.95","10","1008","N"," ","11545"," ","시흥동"
" ","삼익","1999"," "," "," ","59,900","6","4","2021"," "," ","84.96","4","5-13","N"," ","11545"," ","시흥동"
" ","중앙아파트","1989"," "," "," ","25,000","5","4","2021"," "," ","35.61","5","333-24","N"," ","11545"," ","독산동"
" ","두산","1998"," "," "," ","65,800","7","4","2021"," "," ","59.84","25","769","N"," ","11545"," ","가산동"
" ","독산동중앙하이츠빌","2004"," "," "," ","79,000","8","4","2021"," "," ","84.8768","9","1140","N"," ","11545"," ","독산동"
" ","관악산신도브래뉴","2006"," "," "," ","73,000","13","4","2021"," "," ","84.8","11","1017","N"," ","11545"," ","시흥동"
" ","독산주공14단지","1990"," "," "," ","38,700","6","4","2021"," "," ","38.64","8","1088","N"," ","11545"," ","독산동"
" ","남서울힐스테이트","2014"," "," "," ","105,000","10","4","2021"," "," ","115.801","28","1026","N"," ","11545"," ","시흥동"
" ","남서울건영2","1989"," "," "," ","38,000","24","4","2021"," "," ","41.34","4","384-12","N"," ","11545"," ","시흥동"
" ","금천롯데캐슬골드파크2차201동202동","2017"," "," "," ","119,000","25","4","2021"," "," ","84.97","16","1150","N"," ","11545"," ","독산동"
" ","백운한비치","2003"," "," "," ","51,500","10","4","2021"," "," ","76.0537","6","1012","N"," ","11545"," ","시흥동"
" ","금천롯데캐슬골드파크3차","2018"," "," "," ","99,800","3","4","2021"," "," ","59.9672","34","1155","N"," ","11545"," ","독산동"
" ","비즈트위트바이올렛5차","2014"," "," "," ","12,900","26","4","2021"," "," ","18.47","13","140-36","N"," ","11545"," ","가산동"
" ","독산주공14단지","1990"," "," "," ","42,500","12","4","2021"," "," ","44.89","8","1088","N"," ","11545"," ","독산동"
" ","한신아파트","1991"," "," "," ","73,000","11","4","2021"," "," ","89.46","17","1093-4","N"," ","11545"," ","독산동"
" ","관악산벽산타운5","2004"," "," "," ","56,000","20","4","2021"," "," ","84.97","2","1013","N"," ","11545"," ","시흥동"
" ","비즈트위트바이올렛5차","2014"," "," "," ","22,800","24","4","2021"," "," ","30.37","15","140-36","N"," ","11545"," ","가산동"
" ","현대(209)","1996"," "," "," ","48,000","13","4","2021"," "," ","82.53","7","209","N"," ","11545"," ","시흥동"
" ","덕산","1995"," "," "," ","41,500","19","4","2021"," "," ","59.97","4","148-1","N"," ","11545"," ","가산동"
" ","가산양우내안에애플","2013"," "," "," ","10,000","23","4","2021"," "," ","12.04","17","141-2","N"," ","11545"," ","가산동"
" ","금천롯데캐슬골드파크1차","2016"," "," "," ","126,000","12","4","2021"," "," ","84.3963","27","1147","N"," ","11545"," ","독산동"
" ","금강","2000"," "," "," ","47,000","3","4","2021"," "," ","59.95","12","1008","N"," ","11545"," ","시흥동"
" ","독산주공14단지","1990"," "," "," ","43,000","7","4","2021"," "," ","44.89","13","1088","N"," ","11545"," ","독산동"
" ","금천롯데캐슬골드파크1차","2016"," "," "," ","98,000","15","4","2021"," "," ","59.9384","14","1147","N"," ","11545"," ","독산동"
" ","벽산","2000"," "," "," ","43,300","10","4","2021"," "," ","59.94","14","1010","N"," ","11545"," ","시흥동"
" ","독산주공14단지","1990"," "," "," ","35,800","19","4","2021"," "," ","38.64","7","1088","N"," ","11545"," ","독산동"
" ","남서울힐스테이트","2014"," "," "," ","101,000","16","4","2021"," "," ","84.786","23","1026","N"," ","11545"," ","시흥동"
" ","관악산벽산타운5","2004"," "," "," ","48,500","10","4","2021"," "," ","59.34","9","1013","N"," ","11545"," ","시흥동"
" ","비즈트위트바이올렛5차","2014"," "," "," ","9,600","19","4","2021"," "," ","12.19","14","140-36","N"," ","11545"," ","가산동"
" ","관악산벽산타운5","2004"," "," "," ","65,000","16","4","2021"," "," ","84.97","16","1013","N"," ","11545"," ","시흥동"
" ","삼성로얄","2004"," "," "," ","44,500","1","4","2021"," "," ","82.025","4","994-76","N"," ","11545"," ","독산동"
" ","비즈트위트바이올렛5차","2014"," "," "," ","11,800","13","4","2021"," "," ","12.19","13","140-36","N"," ","11545"," ","가산동"
" ","남서울힐스테이트","2014"," "," "," ","79,000","6","4","2021"," "," ","59.87","12","1026","N"," ","11545"," ","시흥동"
" ","가산양우내안에애플","2013"," "," "," ","10,850","14","4","2021"," "," ","12.04","17","141-2","N"," ","11545"," ","가산동"
" ","가산양우내안에애플","2013"," "," "," ","10,900","14","4","2021"," "," ","12.04","17","141-2","N"," ","11545"," ","가산동"
" ","시흥(817-29)","1975"," "," "," ","12,000","12","4","2021"," "," ","39.83","2","817-29","N"," ","11545"," ","시흥동"
" ","관악산벽산타운5","2004"," "," "," ","71,000","4","4","2021"," "," ","114.84","19","1013","N"," ","11545"," ","시흥동"
