"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","성원1","1996"," "," "," ","124,000","8","2","2021"," "," ","134.78","5","580","N"," ","11350"," ","중계동"
" ","우방","1999"," "," "," ","50,000","25","2","2021"," "," ","59.74","12","353","N"," ","11350"," ","하계동"
" ","태릉우성아파트","1985"," "," "," ","74,000","26","2","2021"," "," ","66.87","5","254","N"," ","11350"," ","공릉동"
" ","대동황토방","2001"," "," "," ","73,500","28","2","2021"," "," ","84.97","3","1284","N"," ","11350"," ","상계동"
" ","양지마을(대림)2","1999"," "," "," ","71,900","27","2","2021"," "," ","59.4","14","588","N"," ","11350"," ","중계동"
" ","미륭","1986"," "," "," ","77,000","27","2","2021"," "," ","51.48","10","13","N"," ","11350"," ","월계동"
" ","주공7","1993"," "," "," ","49,700","26","2","2021"," "," ","44.1","7","363-1","N"," ","11350"," ","중계동"
" ","태강아파트(아이파크)","1999"," "," "," ","55,000","26","2","2021"," "," ","49.6","10","81","N"," ","11350"," ","공릉동"
" ","상계주공1(고층)","1988"," "," "," ","67,800","27","2","2021"," "," ","58.01","11","765","N"," ","11350"," ","상계동"
" ","주공5","1992"," "," "," ","44,000","24","2","2021"," "," ","38.64","15","359-1","N"," ","11350"," ","중계동"
" ","주공10","1995"," ","21.05.03","O","76,000","27","2","2021"," "," ","58.14","8","360-16","N"," ","11350"," ","중계동"
" ","동원베네스트","2005"," "," "," ","58,800","26","2","2021"," "," ","59.854","2","940","N"," ","11350"," ","월계동"
" ","화랑타운아파트","2000"," "," "," ","90,300","24","2","2021"," "," ","84.65","6","111","N"," ","11350"," ","공릉동"
" ","한신2차","1988"," "," "," ","34,500","25","2","2021"," "," ","45.92","11","451","N"," ","11350"," ","상계동"
" ","극동늘푸른","2000"," "," "," ","72,000","23","2","2021"," "," ","84.514","9","1128","N"," ","11350"," ","상계동"
" ","한신동성","1993"," "," "," ","94,000","22","2","2021"," "," ","112.24","3","256-5","N"," ","11350"," ","하계동"
" ","상계주공9(고층)","1988"," "," "," ","53,000","24","2","2021"," "," ","41.3","5","670","N"," ","11350"," ","상계동"
