"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","한양수자인","2010"," ","21.05.28","O","59,800","6","2","2021"," "," ","84.99","3","657","N"," ","11320"," ","도봉동"
" ","하루방","2004"," "," "," ","35,450","23","2","2021"," "," ","78.75","2","315-48","N"," ","11320"," ","쌍문동"
" ","대상타운현대아파트","2001"," "," "," ","88,500","8","2","2021"," "," ","84.78","16","720-1","N"," ","11320"," ","방학동"
" ","신동아아파트1","1986"," "," "," ","50,000","25","2","2021"," "," ","70.62","2","271-1","N"," ","11320"," ","방학동"
" ","한솔캐스빌","2002"," "," "," ","13,000","3","2","2021"," "," ","34.62","2","128-2","N"," ","11320"," ","쌍문동"
" ","한신","1995"," "," "," ","65,300","27","2","2021"," "," ","84.94","13","30-1","N"," ","11320"," ","도봉동"
" ","한신","1995"," "," "," ","59,000","24","2","2021"," "," ","84.94","1","30-1","N"," ","11320"," ","도봉동"
" ","우영","2004"," "," "," ","27,800","27","2","2021"," "," ","71.27","2","556-18","N"," ","11320"," ","도봉동"
" ","경남","1988"," "," "," ","31,000","24","2","2021"," "," ","44.5","5","73","N"," ","11320"," ","쌍문동"
" ","한신","1995"," "," "," ","60,800","24","2","2021"," "," ","84.94","1","30-1","N"," ","11320"," ","도봉동"
" ","한신","1995"," "," "," ","60,000","24","2","2021"," "," ","84.94","8","30-1","N"," ","11320"," ","도봉동"
" ","주공17단지","1989"," "," "," ","46,000","28","2","2021"," "," ","36.16","14","38","N"," ","11320"," ","창동"
" ","초안산신도브래뉴","2005"," "," "," ","59,200","27","2","2021"," "," ","84.9991","5","821","N"," ","11320"," ","창동"
" ","창동신도브래뉴1차","2003"," "," "," ","91,000","24","2","2021"," "," ","84.989","2","820","N"," ","11320"," ","창동"
" ","서원","1996"," "," "," ","42,000","23","2","2021"," "," ","49.77","10","641","N"," ","11320"," ","도봉동"
" ","방학지음재힐스","2018"," "," "," ","13,000","23","2","2021"," "," ","14.86","2","717-2","N"," ","11320"," ","방학동"
" ","한화성원아파트","1996"," "," "," ","48,500","23","2","2021"," "," ","59.88","2","731","N"," ","11320"," ","방학동"
" ","주공19단지(창동리버타운)","1988"," "," "," ","100,000","22","2","2021"," "," ","68.86","12","27","N"," ","11320"," ","창동"
" ","한신APT","1999"," "," "," ","39,800","27","2","2021"," "," ","59.96","2","451","N"," ","11320"," ","창동"
" ","북한산아이파크5차","2004"," "," "," ","90,000","20","2","2021"," "," ","84.4516","8","825","N"," ","11320"," ","창동"
" ","삼환도봉","1987"," "," "," ","70,000","23","2","2021"," "," ","83.97","6","87","N"," ","11320"," ","도봉동"
" ","현대1","1990"," "," "," ","65,000","25","2","2021"," "," ","84.66","12","54","N"," ","11320"," ","쌍문동"
" ","창동현대타운","1999"," "," "," ","44,500","28","2","2021"," "," ","66.42","2","812","N"," ","11320"," ","창동"
" ","창동2차현대","2001"," "," "," ","72,000","26","2","2021"," "," ","59.499","10","815","N"," ","11320"," ","창동"
" ","동아","1988"," "," "," ","100,000","20","2","2021"," "," ","89.45","7","26","N"," ","11320"," ","창동"
" ","현대1","1990"," "," "," ","43,500","23","2","2021"," "," ","56.7","10","54","N"," ","11320"," ","쌍문동"
" ","태영데시앙","2003"," "," "," ","84,000","26","2","2021"," "," ","84.995","13","819","N"," ","11320"," ","창동"
" ","삼성래미안","1992"," "," "," ","89,000","20","2","2021"," "," ","84.87","13","45","N"," ","11320"," ","창동"
" ","유원도봉","1990"," "," "," ","54,000","20","2","2021"," "," ","84.93","12","83","N"," ","11320"," ","도봉동"
" ","한양2","1988"," "," "," ","25,000","23","2","2021"," "," ","28.71","6","59","N"," ","11320"," ","쌍문동"
" ","태영데시앙","2003"," "," "," ","84,500","25","2","2021"," "," ","84.995","8","819","N"," ","11320"," ","창동"
" ","창동주공4단지","1991"," "," "," ","54,500","20","2","2021"," "," ","49.94","15","373","N"," ","11320"," ","창동"
" ","한솔캐스빌","2002"," ","21.03.25","O","13,000","3","2","2021"," "," ","34.62","2","128-2","N"," ","11320"," ","쌍문동"
" ","동익미라벨","1987"," "," "," ","52,500","18","2","2021"," "," ","84.53","6","285-5","N"," ","11320"," ","쌍문동"
" ","삼익세라믹","1988"," "," "," ","36,920","22","2","2021"," "," ","42.93","14","56","N"," ","11320"," ","쌍문동"
" ","창동주공4단지","1991"," "," "," ","50,000","26","2","2021"," "," ","41.3","2","373","N"," ","11320"," ","창동"
" ","에덴","2001"," "," "," ","40,000","27","2","2021"," "," ","67.404","7","713","N"," ","11320"," ","쌍문동"
" ","하루방","2004"," ","21.05.10","O","35,500","23","2","2021"," "," ","78.75","2","315-48","N"," ","11320"," ","쌍문동"
" ","우성아파트2","1993"," "," "," ","64,000","20","2","2021"," "," ","84.98","10","508","N"," ","11320"," ","방학동"
" ","성원상떼빌","2001"," "," "," ","59,900","18","2","2021"," "," ","59.75","12","743-15","N"," ","11320"," ","창동"
" ","청구","1996"," "," "," ","62,500","17","2","2021"," "," ","84.63","4","195","N"," ","11320"," ","쌍문동"
" ","태영데시앙","2003"," "," "," ","84,500","23","2","2021"," "," ","84.995","13","819","N"," ","11320"," ","창동"
" ","창동주공4단지","1991"," "," "," ","44,000","23","2","2021"," "," ","41.3","2","373","N"," ","11320"," ","창동"
" ","우성아파트2","1993"," "," "," ","65,000","26","2","2021"," "," ","84.98","9","508","N"," ","11320"," ","방학동"
" ","벽산아파트2","1998"," "," "," ","47,500","22","2","2021"," "," ","59.581","12","496","N"," ","11320"," ","방학동"
" ","한양수자인","2010"," "," "," ","60,000","19","2","2021"," "," ","84.46","8","657","N"," ","11320"," ","도봉동"
" ","신동아아파트3","1992"," "," "," ","55,500","17","2","2021"," "," ","84.86","8","530","N"," ","11320"," ","방학동"
" ","벽산아파트1","1991"," "," "," ","38,500","20","2","2021"," "," ","52.36","7","275","N"," ","11320"," ","방학동"
" ","신동아아파트1","1986"," "," "," ","40,500","22","2","2021"," "," ","53.16","3","271-1","N"," ","11320"," ","방학동"
" ","서울가든","1987"," "," "," ","45,000","17","2","2021"," "," ","75.33","8","555","N"," ","11320"," ","도봉동"
" ","삼익세라믹","1988"," "," "," ","38,000","20","2","2021"," "," ","42.93","6","56","N"," ","11320"," ","쌍문동"
" ","성원상떼빌","2001"," "," "," ","58,000","10","2","2021"," "," ","59.75","2","743-15","N"," ","11320"," ","창동"
" ","주공17단지","1989"," "," "," ","57,000","22","2","2021"," "," ","49.94","2","38","N"," ","11320"," ","창동"
" ","한양2","1988"," "," "," ","30,900","26","2","2021"," "," ","35.1","15","59","N"," ","11320"," ","쌍문동"
" ","한양2","1988"," "," "," ","22,500","20","2","2021"," "," ","28.71","10","59","N"," ","11320"," ","쌍문동"
" ","금호2","1991"," "," "," ","67,500","20","2","2021"," "," ","84.46","10","산69-1","N"," ","11320"," ","쌍문동"
" ","창동주공4단지","1991"," "," "," ","57,000","20","2","2021"," "," ","49.94","11","373","N"," ","11320"," ","창동"
" ","한양5","1991"," "," "," ","47,800","18","2","2021"," "," ","65.37","12","59-3","N"," ","11320"," ","쌍문동"
" ","청구아파트","1994"," "," "," ","63,000","24","2","2021"," "," ","84.97","2","734","N"," ","11320"," ","방학동"
" ","금호어울림","2004"," "," "," ","89,000","25","2","2021"," "," ","84.99","9","823","N"," ","11320"," ","창동"
" ","삼익세라믹","1988"," "," "," ","47,500","20","2","2021"," "," ","58.77","11","56","N"," ","11320"," ","쌍문동"
" ","성원상떼빌","2001"," "," "," ","59,000","22","2","2021"," "," ","59.75","7","743-15","N"," ","11320"," ","창동"
" ","창동주공2단지","1990"," "," "," ","48,500","19","2","2021"," "," ","36.16","7","316","N"," ","11320"," ","창동"
" ","삼익세라믹","1988"," "," "," ","57,000","17","2","2021"," "," ","79.98","3","56","N"," ","11320"," ","쌍문동"
" ","상아1차아파트","1987"," "," "," ","55,000","15","2","2021"," "," ","45.54","3","299","N"," ","11320"," ","창동"
" ","신동아아파트4","1995"," "," "," ","40,000","19","2","2021"," "," ","59.92","15","732","N"," ","11320"," ","방학동"
" ","한신","1995"," "," "," ","63,000","18","2","2021"," "," ","84.94","14","30-1","N"," ","11320"," ","도봉동"
" ","한신","1995"," "," "," ","62,200","8","2","2021"," "," ","84.94","14","30-1","N"," ","11320"," ","도봉동"
" ","월가타워","2013"," "," "," ","10,250","22","2","2021"," "," ","15.49","8","7","N"," ","11320"," ","창동"
" ","서원","1996"," "," "," ","51,000","17","2","2021"," "," ","59.51","11","641","N"," ","11320"," ","도봉동"
" ","신동아타워아파트","1997"," "," "," ","51,900","19","2","2021"," "," ","84.74","3","736","N"," ","11320"," ","방학동"
" ","삼성래미안","1992"," "," "," ","86,600","24","2","2021"," "," ","84.87","7","45","N"," ","11320"," ","창동"
" ","주공17단지","1989"," "," "," ","40,050","15","2","2021"," "," ","36.16","1","38","N"," ","11320"," ","창동"
" ","서원","1996"," "," "," ","41,950","10","2","2021"," "," ","49.77","3","641","N"," ","11320"," ","도봉동"
" ","주공17단지","1989"," "," "," ","45,000","15","2","2021"," "," ","36.16","5","38","N"," ","11320"," ","창동"
" ","극동","1991"," "," "," ","52,000","20","2","2021"," "," ","84.83","4","81-1","N"," ","11320"," ","도봉동"
" ","창동주공4단지","1991"," "," "," ","54,700","10","2","2021"," "," ","49.94","6","373","N"," ","11320"," ","창동"
" ","에덴","2001"," "," "," ","40,000","15","2","2021"," "," ","67.404","4","713","N"," ","11320"," ","쌍문동"
" ","주공17단지","1989"," "," "," ","48,000","22","2","2021"," "," ","36.16","13","38","N"," ","11320"," ","창동"
" ","새울(715-25)","2014"," "," "," ","24,000","21","2","2021"," "," ","42.32","4","715-25","N"," ","11320"," ","창동"
" ","서원","1996"," "," "," ","39,000","27","2","2021"," "," ","49.77","15","641","N"," ","11320"," ","도봉동"
" ","삼성브래뉴","2013"," "," "," ","26,000","19","2","2021"," "," ","57.18","4","443-1","N"," ","11320"," ","창동"
" ","대우","1995"," "," "," ","59,800","18","2","2021"," "," ","59.86","7","804","N"," ","11320"," ","창동"
" ","창동주공18단지","1988"," "," "," ","65,000","10","2","2021"," "," ","45.77","13","30","N"," ","11320"," ","창동"
" ","한신","1995"," "," "," ","63,000","20","2","2021"," "," ","84.94","17","30-1","N"," ","11320"," ","도봉동"
" ","하우니티","2008"," "," "," ","43,000","6","2","2021"," "," ","84.98","6","661-10","N"," ","11320"," ","창동"
" ","금호2","1991"," "," "," ","65,000","20","2","2021"," "," ","84.46","14","산69-1","N"," ","11320"," ","쌍문동"
" ","창동주공4단지","1991"," "," "," ","47,200","15","2","2021"," "," ","41.3","13","373","N"," ","11320"," ","창동"
" ","창동주공4단지","1991"," "," "," ","50,000","8","2","2021"," "," ","41.3","13","373","N"," ","11320"," ","창동"
" ","래미안도봉","2005"," "," "," ","64,000","10","2","2021"," "," ","59.25","14","655","N"," ","11320"," ","도봉동"
" ","월드","2002"," "," "," ","22,000","18","2","2021"," "," ","64.49","1","315-39","N"," ","11320"," ","쌍문동"
" ","방학동삼성래미안2","2002"," "," "," ","87,000","8","2","2021"," "," ","84.937","15","715-12","N"," ","11320"," ","방학동"
" ","신동아아파트3","1992"," "," "," ","47,000","10","2","2021"," "," ","84.86","3","530","N"," ","11320"," ","방학동"
" ","LIG건영캐스빌","2002"," "," "," ","59,000","15","2","2021"," "," ","55.6724","9","635-42","N"," ","11320"," ","창동"
" ","한신","1995"," "," "," ","67,300","26","2","2021"," "," ","84.94","9","30-1","N"," ","11320"," ","도봉동"
" ","방학동삼성래미안1","2002"," "," "," ","116,000","5","2","2021"," "," ","134.981","16","720-18","N"," ","11320"," ","방학동"
" ","e편한세상","2007"," "," "," ","67,000","10","2","2021"," "," ","84.978","2","731","N"," ","11320"," ","쌍문동"
" ","벽산아파트1","1991"," "," "," ","56,900","26","2","2021"," "," ","84.96","6","275","N"," ","11320"," ","방학동"
" ","북한산한신휴플러스","2007"," "," "," ","106,000","10","2","2021"," "," ","111.2248","22","826","N"," ","11320"," ","창동"
" ","스마트빌","2014"," "," "," ","37,000","22","2","2021"," "," ","55.55","10","96-39","N"," ","11320"," ","쌍문동"
" ","한양1","1986"," "," "," ","60,900","6","2","2021"," "," ","66.33","2","388-33","N"," ","11320"," ","쌍문동"
" ","한솔캐스빌","2002"," "," "," ","9,000","23","2","2021"," "," ","37.16","3","128-2","N"," ","11320"," ","쌍문동"
" ","대우그린","2000"," "," "," ","84,000","4","2","2021"," "," ","84.93","15","814","N"," ","11320"," ","창동"
" ","방학동삼성래미안2","2002"," "," "," ","85,000","2","2","2021"," "," ","84.937","15","715-12","N"," ","11320"," ","방학동"
" ","대우","1995"," "," "," ","74,300","18","2","2021"," "," ","84.88","7","804","N"," ","11320"," ","창동"
" ","창동주공4단지","1991"," "," "," ","50,000","3","2","2021"," "," ","41.3","11","373","N"," ","11320"," ","창동"
" ","동익미라벨","1987"," "," "," ","45,500","5","2","2021"," "," ","84.53","13","285-5","N"," ","11320"," ","쌍문동"
" ","성원아파트","1996"," "," "," ","51,000","5","2","2021"," "," ","84.54","1","735","N"," ","11320"," ","방학동"
" ","성원아파트","1996"," "," "," ","60,500","6","2","2021"," "," ","84.54","11","735","N"," ","11320"," ","방학동"
" ","방학동삼성래미안1","2002"," "," "," ","75,000","19","2","2021"," "," ","84.937","22","720-18","N"," ","11320"," ","방학동"
" ","삼익세라믹","1988"," "," "," ","31,750","16","2","2021"," "," ","40.11","15","56","N"," ","11320"," ","쌍문동"
" ","한신","1995"," "," "," ","65,000","1","2","2021"," "," ","84.94","15","30-1","N"," ","11320"," ","도봉동"
" ","한신","1995"," "," "," ","69,500","8","2","2021"," "," ","84.94","4","30-1","N"," ","11320"," ","도봉동"
" ","태영데시앙","2003"," "," "," ","82,000","8","2","2021"," "," ","84.995","19","819","N"," ","11320"," ","창동"
" ","서원","1996"," "," "," ","36,700","3","2","2021"," "," ","49.77","8","641","N"," ","11320"," ","도봉동"
" ","중흥에스-클래스","2004"," "," "," ","61,900","5","2","2021"," "," ","84.989","5","51-12","N"," ","11320"," ","도봉동"
" ","한신","1995"," "," "," ","62,000","2","2","2021"," "," ","84.94","7","30-1","N"," ","11320"," ","도봉동"
" ","현대1","1990"," "," "," ","55,000","20","2","2021"," "," ","84.66","2","54","N"," ","11320"," ","쌍문동"
" ","창동주공4단지","1991"," "," "," ","60,500","2","2","2021"," "," ","49.94","12","373","N"," ","11320"," ","창동"
" ","주공17단지","1989"," "," "," ","41,000","2","2","2021"," "," ","36.16","10","38","N"," ","11320"," ","창동"
" ","주공17단지","1989"," "," "," ","47,000","2","2","2021"," "," ","36.16","9","38","N"," ","11320"," ","창동"
" ","신원에벤에셀","1995"," "," "," ","38,000","17","2","2021"," "," ","59.92","9","256","N"," ","11320"," ","쌍문동"
" ","신동아아파트2","1992"," "," "," ","57,500","3","2","2021"," "," ","84.82","13","531","N"," ","11320"," ","방학동"
" ","현대3","1995"," "," "," ","52,000","2","2","2021"," "," ","84.83","7","719","N"," ","11320"," ","쌍문동"
" ","도봉파크빌3","2002"," "," "," ","67,000","4","2","2021"," "," ","84.354","5","644","N"," ","11320"," ","도봉동"
" ","수산트리플","2004"," "," "," ","56,000","22","2","2021"," "," ","59.86","8","817","N"," ","11320"," ","창동"
" ","한신","1995"," "," "," ","61,000","1","2","2021"," "," ","84.94","2","30-1","N"," ","11320"," ","도봉동"
" ","신동아아파트5","1998"," "," "," ","45,000","16","2","2021"," "," ","59.4","5","738","N"," ","11320"," ","방학동"
" ","북한산아이파크5차","2004"," "," "," ","119,000","2","2","2021"," "," ","119.1731","13","825","N"," ","11320"," ","창동"
" ","태영데시앙","2003"," "," "," ","80,000","1","2","2021"," "," ","84.995","14","819","N"," ","11320"," ","창동"
" ","북한산팰리스아파트","2001"," "," "," ","50,500","5","2","2021"," "," ","143.43","5","522","N"," ","11320"," ","방학동"
" ","금광포란재아파트","2005"," "," "," ","70,000","2","2","2021"," "," ","84.634","6","714-1","N"," ","11320"," ","방학동"
" ","한양2","1988"," "," "," ","31,300","5","2","2021"," "," ","35.1","7","59","N"," ","11320"," ","쌍문동"
" ","삼익세라믹","1988"," "," "," ","31,000","9","2","2021"," "," ","40.11","7","56","N"," ","11320"," ","쌍문동"
" ","주공17단지","1989"," "," "," ","44,000","1","2","2021"," "," ","36.16","4","38","N"," ","11320"," ","창동"
" ","창동주공4단지","1991"," "," "," ","58,800","3","2","2021"," "," ","49.94","13","373","N"," ","11320"," ","창동"
" ","창동2차현대","2001"," "," "," ","100,000","15","2","2021"," "," ","95.633","6","815","N"," ","11320"," ","창동"
" ","창동2차현대","2001"," "," "," ","76,500","6","2","2021"," "," ","59.499","13","815","N"," ","11320"," ","창동"
" ","신원에벤에셀","1995"," "," "," ","47,900","6","2","2021"," "," ","84.9","10","256","N"," ","11320"," ","쌍문동"
" ","한양5","1991"," "," "," ","49,000","3","2","2021"," "," ","65.37","15","59-3","N"," ","11320"," ","쌍문동"
" ","현대2","1993"," "," "," ","59,200","17","2","2021"," "," ","85","12","50","N"," ","11320"," ","쌍문동"
" ","한양1","1986"," "," "," ","40,000","23","2","2021"," "," ","66.33","5","388-33","N"," ","11320"," ","쌍문동"
" ","서원","1996"," "," "," ","49,000","5","2","2021"," "," ","59.51","7","641","N"," ","11320"," ","도봉동"
" ","도봉파크빌2","2002"," "," "," ","69,000","6","2","2021"," "," ","84.155","8","647","N"," ","11320"," ","도봉동"
" ","삼성래미안","1992"," "," "," ","85,000","3","2","2021"," "," ","84.87","5","45","N"," ","11320"," ","창동"
" ","시그마팰리스","2003"," "," "," ","24,000","22","2","2021"," "," ","55.59","13","575","N"," ","11320"," ","쌍문동"
" ","북한산팰리스아파트","2001"," "," "," ","50,500","1","2","2021"," "," ","163.08","3","522","N"," ","11320"," ","방학동"
" ","대상타운현대아파트","2001"," ","21.04.05","O","88,500","8","2","2021"," "," ","84.78","16","720-1","N"," ","11320"," ","방학동"
" ","청구아파트","1994"," "," "," ","62,800","15","2","2021"," "," ","84.97","9","734","N"," ","11320"," ","방학동"
" ","쌍용","1997"," "," "," ","70,000","17","2","2021"," "," ","59.88","4","807","N"," ","11320"," ","창동"
" ","창동주공4단지","1991"," "," "," ","50,000","2","2","2021"," "," ","41.3","6","373","N"," ","11320"," ","창동"
" ","대원그린아파트","1987"," "," "," ","31,000","1","2","2021"," "," ","53.7","9","444-31","N"," ","11320"," ","방학동"
" ","주공17단지","1989"," "," "," ","42,000","2","2","2021"," "," ","36.16","13","38","N"," ","11320"," ","창동"
" ","창동주공18단지","1988"," "," "," ","60,000","3","2","2021"," "," ","45.9","6","30","N"," ","11320"," ","창동"
" ","주공19단지(창동리버타운)","1988"," "," "," ","47,000","6","2","2021"," "," ","59.39","1","27","N"," ","11320"," ","창동"
" ","서원","1996"," "," "," ","37,800","16","2","2021"," "," ","49.77","2","641","N"," ","11320"," ","도봉동"
" ","금호1","1990"," "," "," ","43,000","8","2","2021"," "," ","54.48","6","199-1","N"," ","11320"," ","쌍문동"
" ","삼성래미안","1992"," "," "," ","82,500","3","2","2021"," "," ","84.87","14","45","N"," ","11320"," ","창동"
" ","쌍용","1997"," "," "," ","74,600","16","2","2021"," "," ","59.88","13","807","N"," ","11320"," ","창동"
" ","삼성브래뉴","2013"," "," "," ","22,000","2","2","2021"," "," ","57.18","6","443-1","N"," ","11320"," ","창동"
" ","삼성래미안","1992"," "," "," ","89,400","1","2","2021"," "," ","84.87","12","45","N"," ","11320"," ","창동"
" ","서원","1996"," "," "," ","42,000","9","2","2021"," "," ","49.77","16","641","N"," ","11320"," ","도봉동"
" ","쌍용","1997"," "," "," ","76,300","5","2","2021"," "," ","59.88","14","807","N"," ","11320"," ","창동"
" ","월가타워","2013"," "," "," ","7,700","1","2","2021"," "," ","13.02","14","7","N"," ","11320"," ","창동"
" ","삼익세라믹","1988"," "," "," ","35,600","1","2","2021"," "," ","42.93","11","56","N"," ","11320"," ","쌍문동"
" ","서광","1999"," "," "," ","30,300","17","2","2021"," "," ","59.91","4","643","N"," ","11320"," ","도봉동"
" ","삼환도봉","1987"," "," "," ","64,800","2","2","2021"," "," ","73.89","2","87","N"," ","11320"," ","도봉동"
" ","럭키","1992"," "," "," ","59,800","1","2","2021"," "," ","84.86","4","595","N"," ","11320"," ","도봉동"
" ","상아1차아파트","1987"," "," "," ","64,500","5","2","2021"," "," ","63.09","11","299","N"," ","11320"," ","창동"
" ","창동한신휴플러스(621-69)","2002"," "," "," ","76,000","4","2","2021"," "," ","84.65","15","621-69","N"," ","11320"," ","창동"
" ","성원하이츠(C동)","2006"," "," "," ","38,500","17","2","2021"," "," ","80.68","4","567","N"," ","11320"," ","쌍문동"
" ","동아에코빌","2003"," "," "," ","79,000","4","2","2021"," "," ","105.976","11","654","N"," ","11320"," ","도봉동"
" ","쌍용","1997"," "," "," ","74,700","3","2","2021"," "," ","59.88","22","807","N"," ","11320"," ","창동"
" ","한신","1995"," "," "," ","67,500","1","2","2021"," "," ","84.94","11","30-1","N"," ","11320"," ","도봉동"
" ","한신","1995"," "," "," ","64,500","9","2","2021"," "," ","84.94","11","30-1","N"," ","11320"," ","도봉동"
" ","한일아파트","2001"," "," "," ","50,000","16","2","2021"," "," ","84.94","5","621-1","N"," ","11320"," ","창동"
" ","동부센트레빌아파트","2005"," "," "," ","65,700","2","2","2021"," "," ","84.983","2","689","N"," ","11320"," ","방학동"
" ","신주아파트(A동)","2003"," "," "," ","18,500","2","2","2021"," "," ","56.21","1","695-10","N"," ","11320"," ","방학동"
" ","성원","1989"," "," "," ","58,000","2","2","2021"," "," ","84.98","6","53","N"," ","11320"," ","쌍문동"
" ","송학휴스테이","2016"," "," "," ","29,900","1","2","2021"," "," ","51.021","4","636","N"," ","11320"," ","방학동"
" ","금강102","2002"," "," "," ","21,000","15","2","2021"," "," ","59.98","5","629-29","N"," ","11320"," ","창동"
" ","벽산아파트2","1998"," "," "," ","46,850","2","2","2021"," "," ","59.581","8","496","N"," ","11320"," ","방학동"
" ","대우","1995"," "," "," ","58,000","2","2","2021"," "," ","59.86","2","804","N"," ","11320"," ","창동"
" ","창동주공3단지(해등마을)","1990"," "," "," ","59,000","1","2","2021"," "," ","41.3","9","347","N"," ","11320"," ","창동"
" ","부흥아파트","2003"," "," "," ","24,500","5","2","2021"," "," ","80.1","3","618-1","N"," ","11320"," ","방학동"
" ","서울가든","1992"," "," "," ","80,000","9","2","2021"," "," ","109.63","3","366","N"," ","11320"," ","창동"
