"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","동답한신","1992"," "," "," ","40,000","17","6","2021"," "," ","35.45","1","42","N"," ","11230"," ","답십리동"
" ","동답한신","1992"," ","21.09.01","O","40,000","16","6","2021"," "," ","35.45","1","42","N"," ","11230"," ","답십리동"
" ","브라운스톤휘경","2013"," "," "," ","91,000","23","6","2021"," "," ","84.91","2","368","N"," ","11230"," ","휘경동"
" ","안암골벽산","2003"," "," "," ","97,000","28","6","2021"," "," ","84.98","11","153","N"," ","11230"," ","제기동"
" ","서희스타힐스","2013"," "," "," ","63,000","28","6","2021"," "," ","70.84","10","365-4","N"," ","11230"," ","장안동"
" ","래미안위브","2014"," "," "," ","147,500","30","6","2021"," "," ","84.99","8","1003","N"," ","11230"," ","답십리동"
" ","신동아","1994"," "," "," ","72,000","30","6","2021"," "," ","58.59","2","779","N"," ","11230"," ","용두동"
" ","삼익","1997"," "," "," ","75,000","25","6","2021"," "," ","59.95","13","73","N"," ","11230"," ","이문동"
" ","삼익","1997"," "," "," ","91,800","26","6","2021"," "," ","84.95","16","73","N"," ","11230"," ","이문동"
" ","래미안크레시티","2014"," ","21.09.29","O","155,000","23","6","2021"," "," ","84.96","1","690","N"," ","11230"," ","전농동"
" ","래미안위브","2014"," "," "," ","117,500","24","6","2021"," "," ","59.99","1","1003","N"," ","11230"," ","답십리동"
" ","답십리파크자이","2019"," "," "," ","101,000","25","6","2021"," "," ","49.27","14","1014","N"," ","11230"," ","답십리동"
" ","래미안장안2차","2007"," "," "," ","124,500","26","6","2021"," "," ","112.92","5","329-3","N"," ","11230"," ","장안동"
" ","두산","2000"," "," "," ","92,700","26","6","2021"," "," ","84.83","7","990","N"," ","11230"," ","답십리동"
" ","래미안위브","2014"," "," "," ","141,000","24","6","2021"," "," ","84.98","20","1003","N"," ","11230"," ","답십리동"
" ","한신아파트","2004"," "," "," ","79,000","24","6","2021"," "," ","59.84","1","1212","N"," ","11230"," ","제기동"
" ","답십리파크자이","2019"," "," "," ","113,000","30","6","2021"," "," ","59.91","2","1014","N"," ","11230"," ","답십리동"
" ","주공1","2001"," "," "," ","102,000","29","6","2021"," "," ","114.73","6","57","N"," ","11230"," ","휘경동"
" ","주공1","2001"," "," "," ","85,000","24","6","2021"," "," ","84.29","7","57","N"," ","11230"," ","휘경동"
" ","공감대6차(384-1)","2005"," "," "," ","61,000","29","6","2021"," "," ","137.75","11","384-1","N"," ","11230"," ","장안동"
" ","래미안아름숲","2012"," "," "," ","140,000","25","6","2021"," "," ","114.92","12","688","N"," ","11230"," ","전농동"
" ","대림e-편한세상","2003"," "," "," ","86,700","23","6","2021"," "," ","59.958","17","225","N"," ","11230"," ","이문동"
" ","삼희","1983"," "," "," ","69,000","19","6","2021"," "," ","72.64","5","530-5","N"," ","11230"," ","답십리동"
" ","장안현대홈타운(336)","2003"," "," "," ","84,800","23","6","2021"," "," ","58.42","7","336","N"," ","11230"," ","장안동"
" ","신동아","1994"," "," "," ","83,000","22","6","2021"," "," ","71.01","12","779","N"," ","11230"," ","용두동"
" ","동아","2001"," "," "," ","96,000","19","6","2021"," "," ","114.84","9","10","N"," ","11230"," ","답십리동"
" ","동답한신","1992"," ","21.09.01","O","40,000","16","6","2021"," "," ","35.45","1","42","N"," ","11230"," ","답십리동"
" ","신답극동","1987"," "," "," ","80,000","29","6","2021"," "," ","53.1","4","464-1","N"," ","11230"," ","답십리동"
" ","쌍용","2000"," "," "," ","82,000","22","6","2021"," "," ","84.89","14","64","N"," ","11230"," ","이문동"
" ","신답경남","1991"," "," "," ","72,000","30","6","2021"," "," ","59.24","12","645-8","N"," ","11230"," ","답십리동"
" ","장안힐스테이트","2007"," "," "," ","117,500","26","6","2021"," "," ","84.854","19","329-2","N"," ","11230"," ","장안동"
" ","휘경SK뷰","2019"," "," "," ","107,000","27","6","2021"," "," ","59.39","5","372","N"," ","11230"," ","휘경동"
" ","전농우성","1992"," "," "," ","92,500","21","6","2021"," "," ","115.56","10","6","N"," ","11230"," ","전농동"
" ","주공1","2001"," "," "," ","85,000","23","6","2021"," "," ","84.29","14","57","N"," ","11230"," ","휘경동"
" ","신동아","1994"," "," "," ","88,000","23","6","2021"," "," ","84.63","13","779","N"," ","11230"," ","용두동"
" ","답십리파크자이","2019"," "," "," ","119,000","19","6","2021"," "," ","59.91","14","1014","N"," ","11230"," ","답십리동"
" ","보광타워","2019"," "," "," ","13,500","23","6","2021"," "," ","14.69","10","530-4","N"," ","11230"," ","답십리동"
" ","미주","1978"," "," "," ","124,500","22","6","2021"," "," ","86.74","6","235-1","N"," ","11230"," ","청량리동"
" ","래미안크레시티","2014"," "," "," ","128,500","26","6","2021"," "," ","59.99","7","690","N"," ","11230"," ","전농동"
" ","장안힐스테이트","2007"," "," "," ","95,000","19","6","2021"," "," ","59.885","20","329-2","N"," ","11230"," ","장안동"
" ","한신아파트","2004"," "," "," ","83,800","19","6","2021"," "," ","59.84","2","1212","N"," ","11230"," ","제기동"
" ","래미안 허브리츠","2011"," "," "," ","120,000","19","6","2021"," "," ","59.98","11","792","N"," ","11230"," ","용두동"
" ","전농SK","2000"," "," "," ","96,900","29","6","2021"," "," ","84.95","23","10","N"," ","11230"," ","전농동"
" ","전농SK","2000"," "," "," ","81,500","24","6","2021"," "," ","59.34","4","10","N"," ","11230"," ","전농동"
" ","세양청마루","2005"," "," "," ","82,800","23","6","2021"," "," ","84.98","14","997","N"," ","11230"," ","답십리동"
" ","동답한신","1992"," "," "," ","57,700","25","6","2021"," "," ","44.35","12","42","N"," ","11230"," ","답십리동"
" ","장안현대홈타운(336)","2003"," "," "," ","117,500","24","6","2021"," "," ","112.78","21","336","N"," ","11230"," ","장안동"
" ","장안현대홈타운(336)","2003"," "," "," ","87,500","26","6","2021"," "," ","58.42","9","336","N"," ","11230"," ","장안동"
" ","장안현대홈타운(336)","2003"," "," "," ","85,000","26","6","2021"," "," ","59.54","24","336","N"," ","11230"," ","장안동"
" ","휘경SK뷰","2019"," "," "," ","106,500","19","6","2021"," "," ","59.39","10","372","N"," ","11230"," ","휘경동"
" ","한신","1997"," "," "," ","78,000","14","6","2021"," "," ","59.97","1","60","N"," ","11230"," ","청량리동"
" ","전농우성","1992"," "," "," ","91,500","13","6","2021"," "," ","126.63","2","6","N"," ","11230"," ","전농동"
" ","장안평월드메르디앙2차","2007"," "," "," ","84,500","17","6","2021"," "," ","84.85","3","575","N"," ","11230"," ","장안동"
" ","장안현대홈타운(336)","2003"," "," "," ","116,500","15","6","2021"," "," ","112.78","7","336","N"," ","11230"," ","장안동"
" ","청계지웰에스테이트","2012"," "," "," ","13,600","30","6","2021"," "," ","19.525","10","498-7","N"," ","11230"," ","답십리동"
" ","센시티16","2013"," "," "," ","11,300","6","6","2021"," "," ","14.244","16","488-18","N"," ","11230"," ","답십리동"
" ","현대","1999"," "," "," ","97,000","16","6","2021"," "," ","90.95","25","892-66","N"," ","11230"," ","제기동"
" ","중앙하이츠빌","2002"," "," "," ","78,000","23","6","2021"," "," ","59.4","11","84","N"," ","11230"," ","이문동"
" ","청계천대성스카이렉스2","2007"," "," "," ","92,000","13","6","2021"," "," ","84.99","8","255-66","N"," ","11230"," ","용두동"
" ","청계벽산메가트리움","2006"," "," "," ","79,500","18","6","2021"," "," ","59.93","15","999","N"," ","11230"," ","답십리동"
" ","쌍용","2000"," "," "," ","76,800","27","6","2021"," "," ","59.99","4","64","N"," ","11230"," ","이문동"
" ","미주","1978"," "," "," ","154,000","21","6","2021"," "," ","124.76","9","235-1","N"," ","11230"," ","청량리동"
" ","현대","1987"," "," "," ","100,000","25","6","2021"," "," ","82.18","10","234-2","N"," ","11230"," ","청량리동"
" ","이한센토빌(410-13)","2004"," "," "," ","28,500","19","6","2021"," "," ","46.43","7","410-13","N"," ","11230"," ","장안동"
" ","이수브라운스톤","2005"," "," "," ","96,000","29","6","2021"," "," ","84.9","17","252","N"," ","11230"," ","제기동"
" ","장안위더스빌","2011"," "," "," ","86,000","20","6","2021"," "," ","84.49","15","580","N"," ","11230"," ","장안동"
" ","우성그린","1997"," "," "," ","76,000","14","6","2021"," "," ","84.98","17","989-1","N"," ","11230"," ","답십리동"
" ","현대썬앤빌청계","2016"," "," "," ","13,800","11","6","2021"," "," ","18.38","13","530-15","N"," ","11230"," ","답십리동"
" ","쌍용","2000"," "," "," ","74,500","13","6","2021"," "," ","59.99","8","64","N"," ","11230"," ","이문동"
" ","세양청마루","2005"," "," "," ","81,000","14","6","2021"," "," ","84.98","14","997","N"," ","11230"," ","답십리동"
" ","동서울한양","1989"," "," "," ","74,500","17","6","2021"," "," ","76.41","4","41","N"," ","11230"," ","답십리동"
" ","청계푸르지오시티","2015"," "," "," ","14,000","18","6","2021"," "," ","18.92","7","497-23","N"," ","11230"," ","답십리동"
" ","답십리청솔우성","2000"," "," "," ","78,000","14","6","2021"," "," ","59.74","8","80","N"," ","11230"," ","답십리동"
" ","쌍용","2000"," "," "," ","80,000","22","6","2021"," "," ","59.99","12","64","N"," ","11230"," ","이문동"
" ","롯데","2000"," "," "," ","85,500","25","6","2021"," "," ","84.69","4","78","N"," ","11230"," ","휘경동"
" ","한양아이클래스","2014"," "," "," ","12,500","19","6","2021"," "," ","16.57","3","112-8","N"," ","11230"," ","용두동"
" ","래미안크레시티","2014"," "," "," ","182,000","12","6","2021"," "," ","121.93","19","690","N"," ","11230"," ","전농동"
" ","휘경SK뷰","2019"," "," "," ","135,000","10","6","2021"," "," ","84.31","19","372","N"," ","11230"," ","휘경동"
" ","두산위브","2007"," "," "," ","96,000","6","6","2021"," "," ","59.91","9","998","N"," ","11230"," ","답십리동"
" ","한신아파트","2004"," "," "," ","110,000","10","6","2021"," "," ","114.885","10","1212","N"," ","11230"," ","제기동"
" ","휘경미소지움","1999"," "," "," ","69,800","12","6","2021"," "," ","59.84","21","106","N"," ","11230"," ","휘경동"
