"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","힐스테이트 상도 센트럴파크","2012"," "," "," ","125,000","8","7","2021"," "," ","59.8758","14","531","N"," ","11590"," ","상도동"
" ","사당휴먼시아","2009"," "," "," ","88,500","9","7","2021"," "," ","59.96","1","1154","N"," ","11590"," ","사당동"
" ","힐스테이트 상도 센트럴파크","2012"," ","21.10.13","O","125,000","8","7","2021"," "," ","59.8758","10","531","N"," ","11590"," ","상도동"
" ","펭귄","1978"," "," "," ","43,000","29","7","2021"," "," ","57.69","5","364-55","N"," ","11590"," ","신대방동"
" ","명수대현대","1988"," "," "," ","164,000","31","7","2021"," "," ","84.33","7","10","N"," ","11590"," ","흑석동"
" ","신동아","1993"," "," "," ","82,000","30","7","2021"," "," ","59.89","1","481","N"," ","11590"," ","본동"
" ","우정","1999"," "," "," ","95,000","30","7","2021"," "," ","84.6","8","505","N"," ","11590"," ","대방동"
" ","현진에버빌","2003"," "," "," ","74,500","28","7","2021"," "," ","59.6216","4","716","N"," ","11590"," ","신대방동"
" ","롯데캐슬","2003"," "," "," ","148,000","31","7","2021"," "," ","155.6","2","1132","N"," ","11590"," ","사당동"
" ","중앙하이츠빌","2003"," "," "," ","138,000","29","7","2021"," "," ","123.6025","21","415","N"," ","11590"," ","상도동"
" ","하나마을","2003"," "," "," ","61,800","30","7","2021"," "," ","84.99","2","391-225","N"," ","11590"," ","대방동"
" ","동작상떼빌","2006"," "," "," ","120,000","31","7","2021"," "," ","132.43","22","719","N"," ","11590"," ","신대방동"
" ","사당자이","1999"," "," "," ","87,500","27","7","2021"," "," ","59.89","6","1139","N"," ","11590"," ","사당동"
" ","극동(105)","1993"," "," "," ","153,000","24","7","2021"," "," ","119.91","13","105","N"," ","11590"," ","사당동"
" ","현대","1996"," "," "," ","113,000","27","7","2021"," "," ","84.57","11","707","N"," ","11590"," ","신대방동"
" ","신동아","1993"," "," "," ","108,250","24","7","2021"," "," ","84.46","1","481","N"," ","11590"," ","본동"
" ","롯데낙천대","2003"," "," "," ","87,800","22","7","2021"," "," ","55.4561","6","713","N"," ","11590"," ","신대방동"
" ","아크로리버하임","2019"," "," "," ","205,000","25","7","2021"," "," ","72.951","13","341","N"," ","11590"," ","흑석동"
" ","우성","1997"," "," "," ","115,000","29","7","2021"," "," ","124.77","2","323","N"," ","11590"," ","노량진동"
" ","경동윈츠리버","2004"," "," "," ","128,000","29","7","2021"," "," ","110.04","3","484","N"," ","11590"," ","본동"
" ","경동윈츠리버","2004"," "," "," ","110,000","28","7","2021"," "," ","79.68","5","484","N"," ","11590"," ","본동"
" ","현대(관악)","1992"," "," "," ","103,500","26","7","2021"," "," ","84.78","13","407","N"," ","11590"," ","상도동"
" ","사당우성2","1993"," "," "," ","87,000","24","7","2021"," "," ","46.75","11","105","N"," ","11590"," ","사당동"
" ","사당롯데캐슬2차","2004"," "," "," ","115,000","31","7","2021"," "," ","84.614","1","1149","N"," ","11590"," ","사당동"
" ","두산위브트레지움","2011"," "," "," ","158,000","29","7","2021"," "," ","84.422","3","1131","N"," ","11590"," ","사당동"
" ","대림(169-8)","1990"," "," "," ","160,000","19","7","2021"," "," ","125.4","1","169-8","N"," ","11590"," ","사당동"
" ","주공2","1995"," "," "," ","92,000","30","7","2021"," "," ","51.66","14","503","N"," ","11590"," ","대방동"
" ","대림아파트","1993"," "," "," ","159,500","22","7","2021"," "," ","84.92","5","501","N"," ","11590"," ","대방동"
