"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","마포그랑자이","2020"," "," "," ","202,000","25","11","2021","중개거래","서울 마포구 세종시","84.98","20","806","N"," ","11440"," ","대흥동"
" ","밤섬예가클래식","1989"," "," "," ","176,999","28","11","2021","중개거래","서울 마포구","89.48","10","118","N"," ","11440"," ","현석동"
" ","마포래미안푸르지오3단지","2014"," "," "," ","240,000","23","11","2021","중개거래","서울 마포구","114.588","16","777","N"," ","11440"," ","아현동"
" ","한강밤섬자이","2010"," "," "," ","260,000","23","11","2021","중개거래","서울 마포구","132.54","14","101","N"," ","11440"," ","하중동"
" ","펜트라우스","2011"," "," "," ","209,200","20","11","2021","중개거래","서울 마포구","152.85","17","172","N"," ","11440"," ","신공덕동"
" ","래미안공덕5차","2011"," "," "," ","192,000","28","11","2021","중개거래","서울 성동구","113.866","15","469","N"," ","11440"," ","공덕동"
" ","성산2차e-편한세상","2005"," "," "," ","105,000","26","11","2021","중개거래","서울 마포구","84.95","7","604","N"," ","11440"," ","성산동"
" ","상록","1997"," "," "," ","97,800","20","11","2021","중개거래","서울 마포구","58.71","13","515-1","N"," ","11440"," ","염리동"
" ","상록","1997"," "," "," ","99,000","20","11","2021","중개거래","서울 마포구","58.71","10","515-1","N"," ","11440"," ","염리동"
" ","성산시영(대우)","1986"," "," "," ","108,000","27","11","2021","중개거래","서울 마포구","50.03","11","446","N"," ","11440"," ","성산동"
" ","함성월드빌","2003"," "," "," ","84,000","15","11","2021","중개거래","서울 마포구","76.14","6","502","N"," ","11440"," ","망원동"
" ","마포자이","2003"," "," "," ","189,000","26","11","2021","중개거래","서울 마포구","84.692","12","521","N"," ","11440"," ","염리동"
" ","성산시영(대우)","1986"," "," "," ","107,000","15","11","2021","중개거래","서울 마포구","50.03","3","446","N"," ","11440"," ","성산동"
" ","대우미래사랑","2005"," "," "," ","54,300","18","11","2021","중개거래","서울 마포구","57.36","2","487","N"," ","11440"," ","서교동"
" ","마포자이","2003"," "," "," ","220,000","9","11","2021","중개거래","경기 광명시 서울 마포구","113.803","15","521","N"," ","11440"," ","염리동"
" ","상암월드컵파크4단지","2006"," "," "," ","180,000","10","11","2021","직거래"," ","104.78","24","1655","N"," ","11440"," ","상암동"
" ","상록","1997"," "," "," ","99,000","20","11","2021","중개거래","서울 마포구","58.71","15","515-1","N"," ","11440"," ","염리동"
" ","함성백합","2001"," "," "," ","44,000","20","11","2021","중개거래","서울 마포구","38.69","3","493","N"," ","11440"," ","망원동"
" ","성산시영(유원)","1986"," "," "," ","133,000","26","11","2021","중개거래","서울 마포구","59.43","11","446","N"," ","11440"," ","성산동"
" ","대우메트로디오빌","2005"," "," "," ","43,000","14","11","2021","중개거래","서울 마포구","34.39","19","167","N"," ","11440"," ","신공덕동"
" ","래미안웰스트림","2016"," "," "," ","148,000","18","11","2021","중개거래","서울 마포구","59.96","9","225","N"," ","11440"," ","현석동"
" ","공덕2삼성래미안","2004"," "," "," ","164,000","19","11","2021","중개거래","서울 마포구","84.94","9","43","N"," ","11440"," ","공덕동"
" ","중앙하이츠101동","2007"," "," "," ","60,000","19","11","2021","중개거래","서울 마포구","57.86","2","42-7","N"," ","11440"," ","창전동"
" ","뉴성신아파트","2021"," "," "," ","73,000","23","11","2021","직거래"," ","59.5","4","433-4","N"," ","11440"," ","망원동"
" ","성산2차e-편한세상","2005"," "," "," ","85,000","22","11","2021","중개거래","서울 마포구","59.78","1","604","N"," ","11440"," ","성산동"
" ","비체힐리버뷰","2012"," "," "," ","13,300","26","11","2021","중개거래","서울 마포구","16.5186","3","449","N"," ","11440"," ","마포동"
" ","신촌숲아이파크","2019"," "," "," ","204,000","6","11","2021","중개거래","서울 마포구 서울 서대문구","84.901","13","462","N"," ","11440"," ","신수동"
" ","현대벤처빌","2002"," "," "," ","25,800","6","11","2021","중개거래","서울 마포구","31.57","15","107-36","N"," ","11440"," ","노고산동"
" ","대우미래사랑","2005"," "," "," ","28,000","15","11","2021","중개거래","서울 마포구","34.29","5","487","N"," ","11440"," ","서교동"
" ","대명","1995"," "," "," ","57,000","22","11","2021","직거래"," ","84.99","4","259-1","N"," ","11440"," ","연남동"
" ","공덕1삼성래미안","1999"," "," "," ","161,000","19","11","2021","중개거래","서울 마포구","84.94","14","371","N"," ","11440"," ","공덕동"
" ","밤섬리버베르빌","2004"," "," "," ","216,000","4","11","2021","중개거래","서울 마포구 서울 용산구","174.319","5","395","N"," ","11440"," ","상수동"
" ","중앙하이츠101동","2007"," ","21.12.16","O","55,000","18","11","2021","중개거래","서울 마포구","57.86","3","42-7","N"," ","11440"," ","창전동"
" ","대우메트로디오빌","2005"," "," "," ","41,000","10","11","2021","중개거래","서울 마포구","34.39","20","167","N"," ","11440"," ","신공덕동"
" ","상암월드컵파크12단지","2010"," "," "," ","113,000","6","11","2021","중개거래","서울 마포구","84.66","9","1743","N"," ","11440"," ","상암동"
" ","우공","2004"," "," "," ","69,700","5","11","2021","중개거래","서울 마포구","77.85","6","45-27","N"," ","11440"," ","염리동"
" ","상암월드컵파크12단지","2010"," "," "," ","129,000","10","11","2021","직거래"," ","114.53","11","1743","N"," ","11440"," ","상암동"
" ","롯데캐슬프레지던트","2009"," "," "," ","470,000","2","11","2021","중개거래","서울 마포구","245.39","36","467","N"," ","11440"," ","공덕동"
" ","한화오벨리스크","2004"," "," "," ","52,700","24","11","2021","중개거래","서울 마포구","36.49","7","555","N"," ","11440"," ","도화동"
" ","마포래미안푸르지오1단지","2014"," "," "," ","190,000","2","11","2021","중개거래","서울 마포구 서울 중구","84.8919","18","777","N"," ","11440"," ","아현동"
" ","공덕파크자이","2015"," "," "," ","223,000","13","11","2021","중개거래","서울 마포구","121.4551","20","476","N"," ","11440"," ","공덕동"
" ","래미안밤섬리베뉴Ⅱ","2014"," "," "," ","175,000","11","11","2021","중개거래","서울 마포구","84.98","9","398","N"," ","11440"," ","상수동"
" ","비체힐리버뷰","2012"," "," "," ","13,400","13","11","2021","중개거래","서울 마포구","19.5986","2","449","N"," ","11440"," ","마포동"
" ","마포한강아이파크","2019"," "," "," ","134,000","12","11","2021","중개거래","서울 마포구","59.3813","10","521","N"," ","11440"," ","망원동"
" ","한화꿈에그린","2004"," "," "," ","148,500","2","11","2021","중개거래","서울 마포구","84.939","13","460","N"," ","11440"," ","공덕동"
" ","마포래미안푸르지오3단지","2014"," "," "," ","150,000","10","11","2021","중개거래","서울 마포구","59.9236","5","777","N"," ","11440"," ","아현동"
