"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","풍림1차","1988"," "," "," ","60,000","29","12","2021","중개거래","서울 서대문구","64.53","6","440-3","N"," ","11410"," ","홍은동"
" ","금호어울림","2016"," "," "," ","95,000","26","12","2021","중개거래","서울 서대문구","59.9138","11","471","N"," ","11410"," ","홍제동"
" ","한솔","2002"," "," "," ","35,500","25","12","2021","중개거래","서울 서대문구","78.32","6","7-2","N"," ","11410"," ","북가좌동"
" ","돈의문센트레빌","2011"," "," "," ","130,000","21","12","2021","중개거래","서울 강남구 서울 서대문구","84.99","10","261","N"," ","11410"," ","냉천동"
" ","독립문극동(200-0)","1998"," "," "," ","130,000","11","12","2021","중개거래","서울 서대문구","84.87","4","200","N"," ","11410"," ","현저동"
" ","e편한세상신촌2단지","2018"," "," "," ","180,000","13","12","2021","중개거래","서울 마포구","84.98","17","1013","N"," ","11410"," ","북아현동"
" ","독립문삼호","1995"," "," "," ","75,000","22","12","2021","직거래"," ","84.78","6","100","N"," ","11410"," ","영천동"
" ","건일팰리스","2004"," "," "," ","63,000","9","12","2021","중개거래","서울 서대문구","84.54","3","1-52","N"," ","11410"," ","북아현동"
" ","두산","1999"," "," "," ","100,700","17","12","2021","중개거래","서울 서대문구","59.96","7","1009","N"," ","11410"," ","북아현동"
" ","남가좌동현대","1999"," "," "," ","85,000","10","12","2021","중개거래","서울 서대문구","59.4","16","376","N"," ","11410"," ","남가좌동"
" ","남가좌동현대","1999"," "," "," ","85,500","10","12","2021","중개거래","서울 서대문구","59.4","6","376","N"," ","11410"," ","남가좌동"
" ","홍은동벽산","1997"," "," "," ","89,500","19","12","2021","중개거래","서울 서대문구","114.96","2","455","N"," ","11410"," ","홍은동"
" ","북한산두산위브","2020"," "," "," ","102,000","19","12","2021","중개거래","서울 서대문구","84.78","13","467","N"," ","11410"," ","홍은동"
" ","두산","1999"," "," "," ","96,000","18","12","2021","중개거래","서울 서대문구","59.96","11","1009","N"," ","11410"," ","북아현동"
" ","극동","1995"," "," "," ","65,000","11","12","2021","중개거래","서울 서대문구","84.92","6","454","N"," ","11410"," ","홍은동"
" ","훼미리(1-70)","2006"," "," "," ","121,850","3","12","2021","중개거래","서울 마포구 서울 서대문구","79.85","3","1-70","N"," ","11410"," ","북아현동"
" ","디엠씨엘가","2017"," "," "," ","32,500","4","12","2021","직거래"," ","30.36","6","387","N"," ","11410"," ","남가좌동"
" ","홍제현대","1992"," "," "," ","73,000","11","12","2021","중개거래","서울 서대문구","60.81","5","331","N"," ","11410"," ","홍제동"
" ","요진","1998"," "," "," ","71,000","24","12","2021","중개거래","서울 서대문구","82.08","14","150","N"," ","11410"," ","북가좌동"
" ","성원","2001"," "," "," ","87,000","5","12","2021","중개거래","서울 서대문구","84.95","4","740","N"," ","11410"," ","연희동"
" ","서울맨션","1972"," "," "," ","60,000","26","12","2021","중개거래","서울 서대문구","63.23","5","315-7","N"," ","11410"," ","홍제동"
" ","e편한세상신촌1단지","2018"," "," "," ","171,000","26","12","2021","중개거래","서울 서대문구","84.93","11","1013","N"," ","11410"," ","북아현동"
" ","신원지벤스타1","2005"," "," "," ","100,000","5","12","2021","중개거래","서울 서대문구","132.45","5","392-7","N"," ","11410"," ","홍은동"
" ","e편한세상신촌1단지","2018"," "," "," ","142,000","23","12","2021","중개거래","서울 서대문구","59.85","3","1013","N"," ","11410"," ","북아현동"
" ","남가좌동현대","1999"," "," "," ","96,700","18","12","2021","중개거래","경기 용인처인구 서울 서대문구","73.65","17","376","N"," ","11410"," ","남가좌동"
" ","e편한세상신촌2단지","2018"," "," "," ","213,000","8","12","2021","중개거래","서울 서대문구","114.89","8","1013","N"," ","11410"," ","북아현동"
" ","홍은동벽산","1997"," "," "," ","81,000","10","12","2021","중개거래","서울 서대문구","84.78","3","455","N"," ","11410"," ","홍은동"
" ","연희자이엘라","2014"," "," "," ","15,300","10","12","2021","중개거래","서울 서대문구","13.642","10","745","N"," ","11410"," ","연희동"
" ","e편한세상신촌4단지","2018"," "," "," ","186,300","4","12","2021","중개거래","서울 서대문구","84.89","24","1013","N"," ","11410"," ","북아현동"
" ","유원하나","1996"," "," "," ","59,800","9","12","2021","중개거래","서울 서대문구","58.77","3","454","N"," ","11410"," ","홍제동"
" ","태영으뜸(데시앙)","1998"," "," "," ","63,700","4","12","2021","중개거래","서울 서대문구","67.3","4","373","N"," ","11410"," ","홍제동"
" ","반석블레스","2013"," "," "," ","79,500","3","12","2021","중개거래","서울 서대문구","84.92","2","440-1","N"," ","11410"," ","홍은동"
" ","신촌자이엘라","2014"," "," "," ","26,600","17","12","2021","중개거래","서울 서대문구","22.13","22","104-36","N"," ","11410"," ","대현동"
" ","유원","1987"," "," "," ","57,300","5","12","2021","중개거래","서울 서대문구","64.26","4","22","N"," ","11410"," ","홍은동"
" ","디엠씨엘가","2017"," "," "," ","33,500","13","12","2021","직거래"," ","30.36","8","387","N"," ","11410"," ","남가좌동"
" ","사랑채","2003"," "," "," ","68,000","1","12","2021","중개거래","서울 서대문구","73.83","2","31-9","N"," ","11410"," ","합동"
" ","이대경우타운","2018"," "," "," ","19,200","10","12","2021","직거래"," ","15.32","9","90-20","N"," ","11410"," ","대현동"
" ","홍은동벽산","1997"," "," "," ","83,900","1","12","2021","중개거래","서울 서대문구","84.96","9","455","N"," ","11410"," ","홍은동"
