"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","신반포16","1983"," "," "," ","220,000","23","2","2021"," "," ","83.12","4","55-12","N"," ","11650"," ","잠원동"
" ","신반포4","1979"," "," "," ","350,000","3","2","2021"," "," ","137.1","2","70","N"," ","11650"," ","잠원동"
" ","신반포10","1981"," "," "," ","151,000","9","2","2021"," "," ","54.11","6","58-16","N"," ","11650"," ","잠원동"
" ","서초한신리빙타워","1999"," "," "," ","63,000","16","2","2021"," "," ","47.87","10","1533","N"," ","11650"," ","서초동"
" ","신반포22","1983"," "," "," ","270,000","10","2","2021"," "," ","117.15","10","65-33","N"," ","11650"," ","잠원동"
" ","신반포10","1981"," "," "," ","193,000","15","2","2021"," "," ","54.03","9","58-16","N"," ","11650"," ","잠원동"
" ","서초대우아이빌","2003"," "," "," ","30,500","28","2","2021"," "," ","35.307","5","1675-11","N"," ","11650"," ","서초동"
" ","상지리츠빌(10)","2005"," "," "," ","229,500","26","2","2021"," "," ","175.22","5","1517-6","N"," ","11650"," ","서초동"
" ","방배아트e편한세상101","2005"," "," "," ","147,000","27","2","2021"," "," ","74.87","6","484-2","N"," ","11650"," ","방배동"
" ","신동아","1981"," "," "," ","212,000","24","2","2021"," "," ","105.86","3","988-1","N"," ","11650"," ","방배동"
" ","방배2차e-편한세상","2004"," "," "," ","214,000","26","2","2021"," "," ","163.36","3","881-26","N"," ","11650"," ","방배동"
" ","서초8차상지리츠빌","2006"," "," "," ","170,000","27","2","2021"," "," ","141.12","6","1491-3","N"," ","11650"," ","서초동"
" ","옥스포드빌라트","2003"," "," "," ","91,000","27","2","2021"," "," ","75.01","4","1514-6","N"," ","11650"," ","서초동"
" ","한라","1994"," "," "," ","119,300","26","2","2021"," "," ","59.98","3","67","N"," ","11650"," ","우면동"
" ","서초이오빌","2003"," "," "," ","57,200","23","2","2021"," "," ","58.48","22","1593-7","N"," ","11650"," ","서초동"
" ","반포주공1단지","1973"," "," "," ","450,000","22","2","2021"," "," ","107.47","5","757","N"," ","11650"," ","반포동"
" ","신동아아파트(1차)","1978"," "," "," ","202,000","23","2","2021"," "," ","77.78","1","1333","N"," ","11650"," ","서초동"
" ","반포자이","2009"," "," "," ","520,000","25","2","2021"," "," ","244.543","5","20-43","N"," ","11650"," ","반포동"
" ","삼익","1981"," "," "," ","180,000","24","2","2021"," "," ","89.12","11","1018-1","N"," ","11650"," ","방배동"
" ","서초한신리빙타워","1999"," "," "," ","53,700","27","2","2021"," "," ","42.55","15","1533","N"," ","11650"," ","서초동"
" ","신반포8","1981"," "," "," ","185,500","24","2","2021"," "," ","53.06","1","60-3","N"," ","11650"," ","잠원동"
" ","서초더샵포레","2014"," "," "," ","169,000","20","2","2021"," "," ","101.95","4","411","N"," ","11650"," ","내곡동"
" ","서리풀e편한세상","2010"," "," "," ","225,000","23","2","2021"," "," ","84.97","9","906-13","N"," ","11650"," ","방배동"
" ","우성","1991"," "," "," ","150,000","27","2","2021"," "," ","73.15","14","154-2","N"," ","11650"," ","양재동"
" ","반포자이","2009"," "," "," ","275,000","2","2","2021"," "," ","84.998","6","20-43","N"," ","11650"," ","반포동"
" ","신반포16","1983"," "," "," ","153,000","27","2","2021"," "," ","52.26","4","55-12","N"," ","11650"," ","잠원동"
" ","래미안신반포팰리스","2016"," "," "," ","319,000","20","2","2021"," "," ","104.04","21","158","N"," ","11650"," ","잠원동"
" ","서초래미안","2003"," "," "," ","230,000","22","2","2021"," "," ","96.87","25","1682","N"," ","11650"," ","서초동"
" ","신반포자이","2018"," "," "," ","281,000","27","2","2021"," "," ","84.92","9","160","N"," ","11650"," ","잠원동"
" ","임광","1985"," "," "," ","208,000","22","2","2021"," "," ","136.38","7","1015","N"," ","11650"," ","방배동"
" ","래미안퍼스티지","2009"," "," "," ","414,000","22","2","2021"," "," ","115.65","20","18-1","N"," ","11650"," ","반포동"
" ","신반포16","1983"," "," "," ","158,500","24","2","2021"," "," ","52.32","9","55-12","N"," ","11650"," ","잠원동"
" ","킴스빌리지","1996"," "," "," ","81,300","22","2","2021"," "," ","30.9","5","71-12","N"," ","11650"," ","잠원동"
" ","신반포10","1981"," "," "," ","195,000","27","2","2021"," "," ","54.03","12","58-16","N"," ","11650"," ","잠원동"
" ","서초호반써밋","2013"," "," "," ","179,000","21","2","2021"," "," ","101.0109","9","753","N"," ","11650"," ","우면동"
" ","그린빌라트","1997"," "," "," ","120,000","25","2","2021"," "," ","118.09","4","1488-5","N"," ","11650"," ","서초동"
" ","디에이치반포라클라스","2021"," "," "," ","300,000","27","2","2021"," "," ","84.9671","30","1343","N"," ","11650"," ","반포동"
" ","대림서초리시온","2003"," "," "," ","44,800","22","2","2021"," "," ","45.72","6","1671-5","N"," ","11650"," ","서초동"
" ","롯데캐슬갤럭시(50-1)","2004"," "," "," ","263,000","23","2","2021"," "," ","132.16","7","50-1","N"," ","11650"," ","잠원동"
" ","롯데캐슬클래식","2006"," "," "," ","210,000","25","2","2021"," "," ","74.3","22","1312-3","N"," ","11650"," ","서초동"
" ","서초트라팰리스","2005"," "," "," ","194,000","25","2","2021"," "," ","133.05","8","1344-13","N"," ","11650"," ","서초동"
" ","롯데캐슬포레스트","2003"," "," "," ","270,000","20","2","2021"," "," ","239.33","3","844-27","N"," ","11650"," ","방배동"
" ","신반포16","1983"," ","21.06.09","O","220,000","23","2","2021"," "," ","83.12","4","55-12","N"," ","11650"," ","잠원동"
" ","풍림아이원플러스","2004"," "," "," ","25,800","24","2","2021"," "," ","28.666","15","1338-1","N"," ","11650"," ","서초동"
" ","신화","1997"," "," "," ","164,500","21","2","2021"," "," ","81.37","2","54-7","N"," ","11650"," ","잠원동"
" ","신동아아파트(1차)","1978"," "," "," ","204,000","20","2","2021"," "," ","76.21","11","1333","N"," ","11650"," ","서초동"
" ","신동아아파트(1차)","1978"," "," "," ","245,000","21","2","2021"," "," ","132.1","8","1333","N"," ","11650"," ","서초동"
