"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","신금호파크자이","2016"," "," "," ","160,000","15","9","2021"," "," ","84.98","1","1","N"," ","11200"," ","금호동2가"
" ","롯데캐슬파크","2003"," "," "," ","152,000","27","9","2021"," "," ","81.567","5","835","N"," ","11200"," ","성수동2가"
" ","대우","2001"," "," "," ","169,000","30","9","2021"," "," ","114.6","7","800","N"," ","11200"," ","금호동4가"
" ","행당한진타운","2000"," "," "," ","146,000","30","9","2021"," "," ","84.71","20","346","N"," ","11200"," ","행당동"
" ","대림e-편한세상","2000"," "," "," ","117,500","25","9","2021"," "," ","59.96","3","347","N"," ","11200"," ","행당동"
" ","금호자이1차","2012"," "," "," ","163,000","26","9","2021"," "," ","84.97","6","1215","N"," ","11200"," ","금호동2가"
" ","대림강변타운","2001"," "," "," ","190,000","25","9","2021"," "," ","114.88","20","15","N"," ","11200"," ","응봉동"
" ","동아그린","1999"," "," "," ","127,500","28","9","2021"," "," ","84.91","3","708","N"," ","11200"," ","성수동1가"
" ","동아","1983"," "," "," ","194,000","29","9","2021"," "," ","95.85","10","656-320","N"," ","11200"," ","성수동1가"
" ","서울숲 한신 더 휴","2003"," "," "," ","149,900","24","9","2021"," "," ","84.95","17","349","N"," ","11200"," ","행당동"
" ","서울숲리버뷰자이","2018"," "," "," ","200,000","26","9","2021"," "," ","84.9","12","380","N"," ","11200"," ","행당동"
" ","동아그린","1999"," "," "," ","142,000","25","9","2021"," "," ","112.09","11","708","N"," ","11200"," ","성수동1가"
" ","서울숲푸르지오","2007"," "," "," ","145,000","27","9","2021"," "," ","59.99","5","340","N"," ","11200"," ","금호동4가"
" ","센트라스","2016"," "," "," ","165,000","26","9","2021"," "," ","84.99","1","1070","N"," ","11200"," ","하왕십리동"
" ","행당브라운스톤","2005"," "," "," ","144,000","25","9","2021"," "," ","84.94","9","364","N"," ","11200"," ","행당동"
" ","현대그린","1994"," "," "," ","122,500","23","9","2021"," "," ","81.48","1","33-2","N"," ","11200"," ","성수동1가"
" ","옥수파크힐스117동~125동","2016"," "," "," ","198,000","30","9","2021"," "," ","84.3","16","528-1","N"," ","11200"," ","옥수동"
" ","갤러리아포레","2011"," "," "," ","845,000","29","9","2021"," "," ","241.93","26","685-696","N"," ","11200"," ","성수동1가"
" ","대림강변타운","2001"," "," "," ","135,000","3","9","2021"," "," ","84.42","1","15","N"," ","11200"," ","응봉동"
" ","래미안하이리버","2012"," "," "," ","159,500","18","9","2021"," "," ","84.99","8","1217","N"," ","11200"," ","금호동2가"
" ","래미안하이리버","2012"," "," "," ","152,000","29","9","2021"," "," ","59.99","17","1217","N"," ","11200"," ","금호동2가"
" ","래미안 옥수 리버젠","2012"," "," "," ","250,000","19","9","2021"," "," ","113.52","5","561","N"," ","11200"," ","옥수동"
