"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","코오롱","1999"," "," "," ","94,700","6","2","2021"," "," ","114.84","15","405","N"," ","11290"," ","석관동"
" ","래미안세레니티","2009"," "," "," ","92,800","15","2","2021"," "," ","59.97","16","133","N"," ","11290"," ","종암동"
" ","월곡두산위브","2003"," "," "," ","97,000","5","2","2021"," "," ","114.752","12","222","N"," ","11290"," ","하월곡동"
" ","이편한세상보문","2013"," "," "," ","98,500","6","2","2021"," "," ","84.904","8","230","N"," ","11290"," ","보문동3가"
" ","코업스타클래스","2010"," ","21.04.30","O","140,000","7","2","2021"," "," ","151.17","33","46-73","N"," ","11290"," ","하월곡동"
" ","아남","1994"," "," "," ","68,000","5","2","2021"," "," ","84.9","14","36-2","N"," ","11290"," ","보문동6가"
" ","중앙하이츠빌2단지","2005"," "," "," ","76,000","2","2","2021"," "," ","84.95","18","435","N"," ","11290"," ","정릉동"
" ","한신","1998"," "," "," ","99,500","28","2","2021"," "," ","132.96","2","609-1","N"," ","11290"," ","돈암동"
" ","아남","1994"," "," "," ","65,000","28","2","2021"," "," ","84.9","1","36-2","N"," ","11290"," ","보문동6가"
" ","보문파크뷰자이","2017"," "," "," ","120,000","28","2","2021"," "," ","84.99","19","458","N"," ","11290"," ","보문동6가"
" ","월곡갑을명가","2007"," "," "," ","70,500","27","2","2021"," "," ","66.48","13","227","N"," ","11290"," ","하월곡동"
" ","아남","1996"," "," "," ","59,500","27","2","2021"," "," ","84.69","3","218","N"," ","11290"," ","하월곡동"
" ","정릉e-편한세상","2006"," "," "," ","84,500","27","2","2021"," "," ","114.56","18","1028","N"," ","11290"," ","정릉동"
" ","길음뉴타운4단지(e편한세상)","2005"," "," "," ","98,000","27","2","2021"," "," ","84.64","15","1281","N"," ","11290"," ","길음동"
" ","정릉힐스테이트3차","2008"," "," "," ","91,000","25","2","2021"," "," ","84.97","9","1031","N"," ","11290"," ","정릉동"
" ","한신","1998"," "," "," ","71,000","27","2","2021"," "," ","68.13","10","609-1","N"," ","11290"," ","돈암동"
" ","꿈의숲대명루첸아파트","2008"," "," "," ","99,000","28","2","2021"," "," ","103.526","1","317","N"," ","11290"," ","장위동"
" ","성북힐스테이트(101동)","2007"," "," "," ","82,800","15","2","2021"," "," ","84.14","11","88-64","N"," ","11290"," ","하월곡동"
" ","길음뉴타운8단지(래미안)","2010"," "," "," ","115,000","27","2","2021"," "," ","84.82","1","1284","N"," ","11290"," ","길음동"
" ","아남","1996"," "," "," ","64,000","24","2","2021"," "," ","84.69","18","218","N"," ","11290"," ","하월곡동"
" ","이수브라운스톤돈암","2004"," "," "," ","80,000","26","2","2021"," "," ","59.99","17","636","N"," ","11290"," ","돈암동"
" ","베로니스","2020"," "," "," ","62,600","25","2","2021"," "," ","52.61","2","90-700","N"," ","11290"," ","하월곡동"
" ","길음뉴타운5단지(래미안)","2006"," "," "," ","85,000","25","2","2021"," "," ","59.75","1","1282","N"," ","11290"," ","길음동"
" ","한신","1998"," ","21.04.26","O","82,500","22","2","2021"," "," ","84.87","7","609-1","N"," ","11290"," ","돈암동"
" ","월곡두산위브","2003"," "," "," ","84,000","25","2","2021"," "," ","84.843","10","222","N"," ","11290"," ","하월곡동"
" ","대우","2001"," "," "," ","51,000","28","2","2021"," "," ","59.98","7","1021","N"," ","11290"," ","정릉동"
" ","한신","1998"," ","21.04.13","O","99,500","28","2","2021"," "," ","132.96","2","609-1","N"," ","11290"," ","돈암동"
" ","석관래미안","2009"," "," "," ","90,500","27","2","2021"," "," ","84.84","8","407","N"," ","11290"," ","석관동"
" ","베로니스","2020"," "," "," ","56,000","18","2","2021"," "," ","52.58","14","90-700","N"," ","11290"," ","하월곡동"
" ","베로니스","2020"," "," "," ","56,800","22","2","2021"," "," ","52.9","3","90-700","N"," ","11290"," ","하월곡동"
" ","동일하이빌뉴시티","2011"," "," "," ","150,000","20","2","2021"," "," ","189.07","11","230","N"," ","11290"," ","하월곡동"
" ","동일하이빌뉴시티","2011"," "," "," ","120,000","23","2","2021"," "," ","133.74","17","230","N"," ","11290"," ","하월곡동"
" ","동신","1998"," "," "," ","64,500","22","2","2021"," "," ","59.88","22","219","N"," ","11290"," ","하월곡동"
" ","길음뉴타운데시앙","1999"," "," "," ","59,500","23","2","2021"," "," ","59.42","16","1018","N"," ","11290"," ","정릉동"
" ","길음뉴타운4단지(e편한세상)","2005"," "," "," ","104,500","20","2","2021"," "," ","84.64","10","1281","N"," ","11290"," ","길음동"
" ","안암동삼성래미안","2005"," "," "," ","81,500","20","2","2021"," "," ","59.6983","10","361","N"," ","11290"," ","안암동1가"
" ","길음동동부센트레빌(1278-0)","2003"," "," "," ","94,500","25","2","2021"," "," ","84.844","18","1278","N"," ","11290"," ","길음동"
" ","종암에스케이","1999"," "," "," ","89,000","26","2","2021"," "," ","84.72","26","104-1","N"," ","11290"," ","종암동"
" ","정릉풍림아이원","2005"," "," "," ","58,200","20","2","2021"," "," ","59.88","3","239","N"," ","11290"," ","정릉동"
" ","고려","1983"," "," "," ","19,000","23","2","2021"," "," ","52.56","4","125-1","N"," ","11290"," ","종암동"
" ","월곡두산위브","2003"," "," "," ","78,400","22","2","2021"," "," ","59.855","7","222","N"," ","11290"," ","하월곡동"
" ","정릉e-편한세상","2006"," "," "," ","64,800","22","2","2021"," "," ","59.77","14","1028","N"," ","11290"," ","정릉동"
" ","돈암현대아파트","1991"," "," "," ","55,800","23","2","2021"," "," ","41.58","9","1","N"," ","11290"," ","돈암동"
" ","안암동삼성래미안","2005"," "," "," ","73,000","20","2","2021"," "," ","59.6983","2","361","N"," ","11290"," ","안암동1가"
" ","한신","1998"," "," "," ","69,700","15","2","2021"," "," ","68.13","5","609-1","N"," ","11290"," ","돈암동"
" ","두산","1998"," "," "," ","75,000","27","2","2021"," "," ","59.97","2","10","N"," ","11290"," ","석관동"
" ","길음동동부센트레빌(1278-0)","2003"," "," "," ","75,000","15","2","2021"," "," ","59.998","8","1278","N"," ","11290"," ","길음동"
" ","이수브라운스톤돈암","2004"," "," "," ","98,000","27","2","2021"," "," ","84.97","14","636","N"," ","11290"," ","돈암동"
" ","길음뉴타운5단지(래미안)","2006"," "," "," ","111,000","26","2","2021"," "," ","84.96","16","1282","N"," ","11290"," ","길음동"
" ","범양","1998"," "," "," ","84,000","27","2","2021"," "," ","84.92","20","631","N"," ","11290"," ","돈암동"
" ","두산","1998"," "," "," ","66,000","25","2","2021"," "," ","54.55","15","10","N"," ","11290"," ","석관동"
" ","길음동동부센트레빌(1278-0)","2003"," "," "," ","108,500","20","2","2021"," "," ","114.912","20","1278","N"," ","11290"," ","길음동"
" ","한신","1998"," "," "," ","102,000","20","2","2021"," "," ","132.96","4","609-1","N"," ","11290"," ","돈암동"
" ","동아에코빌","2003"," "," "," ","65,500","18","2","2021"," "," ","59.95","11","101","N"," ","11290"," ","상월곡동"
" ","한진(609-1)","1998"," "," "," ","81,500","27","2","2021"," "," ","84.87","20","609-1","N"," ","11290"," ","돈암동"
" ","코오롱","1999"," "," "," ","70,400","23","2","2021"," "," ","59.94","18","73","N"," ","11290"," ","삼선동4가"
" ","길음뉴타운4단지(e편한세상)","2005"," "," "," ","84,000","19","2","2021"," "," ","59.97","3","1281","N"," ","11290"," ","길음동"
" ","돈암현대아파트","1991"," "," "," ","74,500","20","2","2021"," "," ","84.8","12","1","N"," ","11290"," ","돈암동"
" ","종암에스케이","1999"," "," "," ","75,700","27","2","2021"," "," ","59.04","21","104-1","N"," ","11290"," ","종암동"
" ","종암에스케이","1999"," "," "," ","88,800","23","2","2021"," "," ","84.72","23","104-1","N"," ","11290"," ","종암동"
" ","두산","1998"," "," "," ","91,500","24","2","2021"," "," ","84.9","17","10","N"," ","11290"," ","석관동"
" ","산장아파트가동,나동","1977"," "," "," ","36,500","20","2","2021"," "," ","52.89","5","780","N"," ","11290"," ","정릉동"
" ","우림카이저팰리스","2008"," "," "," ","79,000","15","2","2021"," "," ","84.52","6","132","N"," ","11290"," ","종암동"
" ","길음뉴타운4단지(e편한세상)","2005"," "," "," ","104,500","20","2","2021"," "," ","84.64","6","1281","N"," ","11290"," ","길음동"
" ","길음뉴타운4단지(e편한세상)","2005"," ","21.03.11","O","84,000","19","2","2021"," "," ","59.97","3","1281","N"," ","11290"," ","길음동"
" ","정릉우성아파트 101~105동","2000"," "," "," ","63,000","18","2","2021"," "," ","59.67","8","1020","N"," ","11290"," ","정릉동"
" ","라온유","2008"," "," "," ","98,900","14","2","2021"," "," ","109.75","9","1034","N"," ","11290"," ","정릉동"
" ","래미안길음센터피스","2019"," "," "," ","153,000","18","2","2021"," "," ","84.95","21","1288","N"," ","11290"," ","길음동"
" ","길음뉴타운1단지(래미안길음1차)","2003"," "," "," ","87,500","26","2","2021"," "," ","59.99","16","1279","N"," ","11290"," ","길음동"
" ","베로니스","2020"," "," "," ","58,800","15","2","2021"," "," ","52.58","2","90-700","N"," ","11290"," ","하월곡동"
" ","우정에쉐르","2009"," "," "," ","70,000","27","2","2021"," "," ","84.92","10","1033","N"," ","11290"," ","정릉동"
" ","돈암동해피트리","2013"," "," "," ","80,000","15","2","2021"," "," ","84.98","1","642","N"," ","11290"," ","돈암동"
" ","대우","2001"," "," "," ","73,000","16","2","2021"," "," ","114.84","16","1021","N"," ","11290"," ","정릉동"
" ","정릉꿈에그린","2015"," "," "," ","86,000","17","2","2021"," "," ","84.56","2","1037","N"," ","11290"," ","정릉동"
" ","래미안길음센터피스","2019"," "," "," ","119,000","15","2","2021"," "," ","59.97","6","1288","N"," ","11290"," ","길음동"
" ","래미안아트리치","2019"," "," "," ","104,500","23","2","2021"," "," ","59.98","11","410","N"," ","11290"," ","석관동"
" ","정릉2차e-편한세상","2009"," "," "," ","104,000","25","2","2021"," "," ","114.35","1","1035","N"," ","11290"," ","정릉동"
" ","두산","1998"," "," "," ","73,800","15","2","2021"," "," ","59.97","11","10","N"," ","11290"," ","석관동"
" ","석계역한일노벨리아시티","2019"," "," "," ","12,000","27","2","2021"," "," ","14.7145","8","8-2","N"," ","11290"," ","장위동"
" ","길음뉴타운4단지(e편한세상)","2005"," "," "," ","84,500","20","2","2021"," "," ","59.97","9","1281","N"," ","11290"," ","길음동"
" ","한진(609-1)","1998"," "," "," ","62,700","18","2","2021"," "," ","59.58","9","609-1","N"," ","11290"," ","돈암동"
" ","정릉힐스테이트","2004"," "," "," ","75,000","15","2","2021"," "," ","59.94","16","1025","N"," ","11290"," ","정릉동"
" ","래미안아트리치","2019"," "," "," ","103,500","16","2","2021"," "," ","59.98","5","410","N"," ","11290"," ","석관동"
" ","길음뉴타운4단지(e편한세상)","2005"," "," "," ","98,400","20","2","2021"," "," ","84.64","2","1281","N"," ","11290"," ","길음동"
" ","래미안세레니티","2009"," "," "," ","109,000","20","2","2021"," "," ","84.98","22","133","N"," ","11290"," ","종암동"
" ","래미안세레니티","2009"," ","21.03.09","O","109,000","20","2","2021"," "," ","84.98","22","133","N"," ","11290"," ","종암동"
" ","동아에코빌","2003"," "," "," ","63,200","18","2","2021"," "," ","59.95","4","101","N"," ","11290"," ","상월곡동"
" ","래미안길음센터피스","2019"," "," "," ","149,900","13","2","2021"," "," ","84.95","9","1288","N"," ","11290"," ","길음동"
" ","길음뉴타운4단지(e편한세상)","2005"," "," "," ","100,000","18","2","2021"," "," ","84.64","18","1281","N"," ","11290"," ","길음동"
" ","대우","2001"," ","21.03.10","O","73,000","16","2","2021"," "," ","114.84","16","1021","N"," ","11290"," ","정릉동"
" ","길음뉴타운5단지(래미안)","2006"," "," "," ","88,000","6","2","2021"," "," ","59.75","5","1282","N"," ","11290"," ","길음동"
" ","정릉풍림아이원","2005"," "," "," ","66,500","9","2","2021"," "," ","60","5","239","N"," ","11290"," ","정릉동"
" ","종암에스케이","1999"," "," "," ","70,900","15","2","2021"," "," ","59.04","15","104-1","N"," ","11290"," ","종암동"
" ","한진(609-1)","1998"," "," "," ","59,000","11","2","2021"," "," ","59.58","2","609-1","N"," ","11290"," ","돈암동"
" ","래미안길음센터피스","2019"," "," "," ","115,000","20","2","2021"," "," ","59.97","5","1288","N"," ","11290"," ","길음동"
" ","베로니스","2020"," "," "," ","60,000","6","2","2021"," "," ","52.58","2","90-700","N"," ","11290"," ","하월곡동"
" ","정릉푸른마을동아","2003"," "," "," ","69,500","18","2","2021"," "," ","84.96","5","210","N"," ","11290"," ","정릉동"
" ","두산","1998"," "," "," ","86,000","16","2","2021"," "," ","84.95","6","10","N"," ","11290"," ","석관동"
" ","삼성","1997"," "," "," ","50,000","23","2","2021"," "," ","84.72","4","404","N"," ","11290"," ","석관동"
" ","우정에쉐르","2009"," "," "," ","73,000","20","2","2021"," "," ","84.92","4","1033","N"," ","11290"," ","정릉동"
" ","라온유","2008"," "," "," ","89,700","27","2","2021"," "," ","84.65","24","1034","N"," ","11290"," ","정릉동"
" ","래미안아트리치","2019"," "," "," ","125,000","20","2","2021"," "," ","84.97","9","410","N"," ","11290"," ","석관동"
" ","꿈의숲푸르지오","2010"," "," "," ","114,000","26","2","2021"," "," ","114.61","5","228","N"," ","11290"," ","하월곡동"
" ","정릉우성아파트 101~105동","2000"," "," "," ","68,200","20","2","2021"," "," ","84.96","4","1020","N"," ","11290"," ","정릉동"
