"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","에비뉴잠실","2020"," "," "," ","41,300","6","9","2021"," "," ","29.51","11","47-2","N"," ","11710"," ","방이동"
" ","잠실엘스","2008"," "," "," ","242,000","4","9","2021"," "," ","84.8","23","19","N"," ","11710"," ","잠실동"
" ","문정래미안","2004"," "," "," ","153,000","30","9","2021"," "," ","84.96","2","1","N"," ","11710"," ","문정동"
" ","레이크팰리스","2006"," "," "," ","198,000","30","9","2021"," "," ","59.97","11","44","N"," ","11710"," ","잠실동"
" ","대림","1988"," "," "," ","150,000","30","9","2021"," "," ","125.79","13","2","N"," ","11710"," ","오금동"
" ","문정시영","1989"," ","21.11.16","O","75,000","30","9","2021"," "," ","35.46","13","145","N"," ","11710"," ","문정동"
" ","문정대우푸르지오1차","1999"," "," "," ","144,000","25","9","2021"," "," ","84.86","19","18","N"," ","11710"," ","문정동"
" ","주공아파트 5단지","1978"," "," "," ","269,000","29","9","2021"," "," ","76.5","1","27","N"," ","11710"," ","잠실동"
" ","노보빌아파트","2000"," "," "," ","160,000","27","9","2021"," "," ","198.26","1","180-7","N"," ","11710"," ","송파동"
" ","주공아파트 5단지","1978"," "," "," ","295,000","29","9","2021"," "," ","81.75","15","27","N"," ","11710"," ","잠실동"
" ","잠실엘스","2008"," "," "," ","337,000","24","9","2021"," "," ","119.93","27","19","N"," ","11710"," ","잠실동"
" ","골드팰리스아파트","2007"," "," "," ","70,000","28","9","2021"," "," ","74.16","6","164-1","N"," ","11710"," ","가락동"
" ","올림픽훼밀리타운","1988"," "," "," ","253,500","29","9","2021"," "," ","136.325","4","150","N"," ","11710"," ","문정동"
" ","현대리버빌2지구","1999"," "," "," ","134,900","23","9","2021"," "," ","84.97","8","261","N"," ","11710"," ","풍납동"
" ","파크리오","2008"," "," "," ","251,000","27","9","2021"," "," ","84.79","33","17","N"," ","11710"," ","신천동"
" ","우성아파트","1981"," "," "," ","185,000","25","9","2021"," "," ","80.39","3","101-1","N"," ","11710"," ","잠실동"
" ","잠실엘스","2008"," "," "," ","245,000","27","9","2021"," "," ","84.8","15","19","N"," ","11710"," ","잠실동"
" ","신성노바빌아파트","2000"," "," "," ","134,700","25","9","2021"," "," ","84.96","17","510","N"," ","11710"," ","풍납동"
" ","프라자","1985"," "," "," ","194,000","24","9","2021"," "," ","156.93","12","199","N"," ","11710"," ","가락동"
" ","한신1","1993"," "," "," ","139,000","16","9","2021"," "," ","84.51","3","102","N"," ","11710"," ","가락동"
" ","거여4단지","1997"," "," "," ","87,000","23","9","2021"," "," ","49.8","1","293","N"," ","11710"," ","거여동"
" ","헬리오시티","2018"," "," "," ","348,000","30","9","2021"," "," ","130.06","29","913","N"," ","11710"," ","가락동"
" ","상아2차아파트","1988"," "," "," ","83,600","28","9","2021"," "," ","50.72","9","165","N"," ","11710"," ","오금동"
" ","송파삼성래미안아파트","2001"," ","21.12.01","O","171,000","18","9","2021"," "," ","87.98","12","162","N"," ","11710"," ","송파동"
" ","한신1","1993"," "," "," ","139,200","16","9","2021"," "," ","84.51","6","102","N"," ","11710"," ","가락동"
" ","장미1","1979"," "," "," ","234,400","14","9","2021"," "," ","82.45","8","7","N"," ","11710"," ","신천동"
" ","2차한양아파트","1984"," "," "," ","198,000","15","9","2021"," "," ","108.68","3","151","N"," ","11710"," ","송파동"
" ","동아한가람1","1995"," "," "," ","147,000","11","9","2021"," "," ","84.38","12","506","N"," ","11710"," ","풍납동"
" ","올림픽선수기자촌1단지","1988"," "," "," ","293,000","17","9","2021"," "," ","121.23","2","89","N"," ","11710"," ","방이동"
" ","파크리오","2008"," "," "," ","246,000","26","9","2021"," "," ","84.79","26","17","N"," ","11710"," ","신천동"
" ","파크리오","2008"," "," "," ","242,000","17","9","2021"," "," ","84.9","18","17","N"," ","11710"," ","신천동"
" ","올림픽훼밀리타운","1988"," "," "," ","208,000","13","9","2021"," "," ","84.751","7","150","N"," ","11710"," ","문정동"
" ","올림픽선수기자촌1단지","1988"," "," "," ","265,000","18","9","2021"," "," ","100.82","11","89","N"," ","11710"," ","방이동"
" ","주공아파트 5단지","1978"," "," "," ","288,100","23","9","2021"," "," ","82.61","5","27","N"," ","11710"," ","잠실동"
" ","올림픽선수기자촌2단지","1988"," "," "," ","310,000","24","9","2021"," "," ","126.18","7","89","N"," ","11710"," ","방이동"
" ","올림픽훼밀리타운","1988"," "," "," ","210,000","24","9","2021"," "," ","84.705","7","150","N"," ","11710"," ","문정동"
" ","레이크팰리스","2006"," "," "," ","219,000","16","9","2021"," "," ","84.82","25","44","N"," ","11710"," ","잠실동"
" ","트리지움","2007"," "," "," ","232,000","15","9","2021"," "," ","84.97","11","35","N"," ","11710"," ","잠실동"
" ","가락금호아파트","1997"," "," "," ","137,500","17","9","2021"," "," ","59.91","12","95-1","N"," ","11710"," ","가락동"
" ","파크리오","2008"," "," "," ","101,500","24","9","2021"," "," ","35.24","5","17","N"," ","11710"," ","신천동"
" ","잠실엘스","2008"," "," "," ","219,000","17","9","2021"," "," ","59.96","11","19","N"," ","11710"," ","잠실동"
" ","문정시영","1989"," "," "," ","87,500","15","9","2021"," "," ","39.69","11","145","N"," ","11710"," ","문정동"
" ","현대(6차)","1991"," "," "," ","131,000","16","9","2021"," "," ","84.8","10","55","N"," ","11710"," ","가락동"
" ","헬리오시티","2018"," "," "," ","209,000","29","9","2021"," "," ","59.96","16","913","N"," ","11710"," ","가락동"
" ","한신1","1993"," ","21.11.08","O","135,000","18","9","2021"," "," ","84.51","3","102","N"," ","11710"," ","가락동"
" ","트리지움","2007"," "," "," ","245,000","25","9","2021"," "," ","84.83","18","35","N"," ","11710"," ","잠실동"
" ","송파삼성래미안아파트","2001"," "," "," ","170,000","24","9","2021"," "," ","79.7","14","162","N"," ","11710"," ","송파동"
" ","한신잠실코아","1988"," "," "," ","80,000","14","9","2021"," "," ","31.5","13","11-9","N"," ","11710"," ","신천동"
" ","주공아파트 5단지","1978"," "," "," ","270,000","17","9","2021"," "," ","76.5","10","27","N"," ","11710"," ","잠실동"
