"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","리버하이츠","2000"," "," "," ","70,000","3","11","2021","중개거래","서울 양천구","83.6","6","131-45","N"," ","11470"," ","목동"
" ","목동신시가지1","1985"," "," "," ","213,000","15","11","2021","중개거래","서울 양천구","91.26","9","901","N"," ","11470"," ","목동"
" ","올림푸스(150-1)","2006"," "," "," ","45,000","25","11","2021","중개거래","서울 강서구","84.32","3","150-1","N"," ","11470"," ","신월동"
" ","명지해드는터","2003"," "," "," ","138,400","27","11","2021","중개거래","서울 양천구","84.98","3","1300","N"," ","11470"," ","신정동"
" ","신안파크","1987"," "," "," ","54,000","30","11","2021","중개거래","서울 마포구 서울 양천구","56.78","2","350-2","N"," ","11470"," ","신월동"
" ","푸른마을2","2001"," "," "," ","70,500","20","11","2021","중개거래","서울 양천구","59.85","5","1281","N"," ","11470"," ","신정동"
" ","목동신시가지9","1987"," ","22.01.17","O","280,000","18","11","2021","중개거래","서울 양천구","156.84","5","312","N"," ","11470"," ","신정동"
" ","세양청마루","2006"," "," "," ","110,000","19","11","2021","중개거래","서울 강남구 서울 구로구","84.98","13","1306","N"," ","11470"," ","신정동"
" ","경남아너스빌","2004"," "," "," ","123,000","20","11","2021","중개거래","서울 양천구","84.95","6","1307","N"," ","11470"," ","신정동"
" ","목동성원(926-8)","1997"," "," "," ","183,000","9","11","2021","중개거래","경기 광명시","114.95","8","926-8","N"," ","11470"," ","목동"
" ","태형","1998"," "," "," ","40,000","22","11","2021","중개거래","서울 양천구","59.76","10","134-17","N"," ","11470"," ","신월동"
" ","신월6차보람","2005"," ","22.02.22","O","52,500","20","11","2021","중개거래","서울 양천구","59.232","4","125","N"," ","11470"," ","신월동"
" ","대방샤인힐","2003"," "," "," ","59,000","18","11","2021","중개거래","서울 양천구","59.648","14","1017","N"," ","11470"," ","신월동"
" ","목동캐슬아파트","1999"," "," "," ","80,000","20","11","2021","중개거래","서울 양천구","85.32","6","296-28","N"," ","11470"," ","신정동"
" ","경남아너스빌","2004"," "," "," ","150,000","25","11","2021","중개거래","서울 마포구 서울 양천구","103.45","10","1307","N"," ","11470"," ","신정동"
" ","목동현대3차","1997"," "," "," ","139,900","12","11","2021","중개거래","서울 강남구 서울 양천구","84.77","17","1279","N"," ","11470"," ","신정동"
" ","극동늘푸른","1998"," "," "," ","140,000","18","11","2021","중개거래","서울 양천구","114.65","9","752-1","N"," ","11470"," ","목동"
" ","경남아너스빌","2004"," ","21.12.09","O","150,000","25","11","2021","중개거래","서울 마포구 서울 양천구","103.45","10","1307","N"," ","11470"," ","신정동"
" ","청구","1992"," ","22.05.03","O","120,000","12","11","2021","중개거래","서울 양천구","84.99","9","336","N"," ","11470"," ","신정동"
" ","목동경동미르웰","2017"," "," "," ","13,500","19","11","2021","중개거래","서울 양천구","14.02","9","972-2","N"," ","11470"," ","신정동"
" ","미진","2005"," "," "," ","50,220","23","11","2021","중개거래","서울 양천구","84.3","3","510-7","N"," ","11470"," ","신월동"
" ","신월시영","1988"," "," "," ","68,300","12","11","2021","중개거래","서울 양천구","50.67","3","987-1","N"," ","11470"," ","신월동"
" ","트라팰리스이스턴에비뉴","2009"," "," "," ","237,000","24","11","2021","중개거래","서울 양천구","124.95","21","962-1","N"," ","11470"," ","목동"
" ","리버하이츠","2000"," ","22.05.24","O","70,000","4","11","2021","중개거래","서울 양천구","83.6","6","131-45","N"," ","11470"," ","목동"
" ","주안펌니스아파트","2002"," "," "," ","60,500","16","11","2021","중개거래","서울 양천구","89.44","4","952-3","N"," ","11470"," ","신정동"
" ","신정두산위브","2012"," "," "," ","105,000","6","11","2021","중개거래","서울 양천구","75.63","20","1055","N"," ","11470"," ","신월동"
" ","양천벽산블루밍2단지","2006"," "," "," ","70,000","12","11","2021","중개거래","서울 양천구","84.77","1","1027","N"," ","11470"," ","신월동"
" ","금하뜨라네","2016"," "," "," ","41,500","10","11","2021","중개거래","서울 강서구 서울 양천구","84.78","2","142-14","N"," ","11470"," ","신월동"
" ","목동경동미르웰","2017"," "," "," ","13,500","25","11","2021","중개거래","서울 양천구","14.02","13","972-2","N"," ","11470"," ","신정동"
" ","신트리4","2000"," "," "," ","70,500","23","11","2021","중개거래","서울 양천구","49.08","14","1277","N"," ","11470"," ","신정동"
" ","대림e-편한세상","2004"," "," "," ","99,500","16","11","2021","중개거래","서울 양천구","84.985","5","1303","N"," ","11470"," ","신정동"
" ","길훈","1987"," "," "," ","43,000","16","11","2021","중개거래","서울 양천구","42.57","5","341-1","N"," ","11470"," ","신월동"
" ","경남아너스빌","2004"," "," "," ","139,000","2","11","2021","중개거래","경기 하남시 서울 양천구","84.95","18","1307","N"," ","11470"," ","신정동"
" ","목동센트럴아이파크위브1단지","2020"," "," "," ","130,000","26","11","2021","중개거래","서울 양천구","84.97","11","1075","N"," ","11470"," ","신월동"
" ","리버하이츠","2000"," "," "," ","67,000","4","11","2021","중개거래","서울 양천구","82.38","5","131-45","N"," ","11470"," ","목동"
" ","온누리베일리","2016"," "," "," ","40,000","20","11","2021","중개거래","서울 양천구","53.74","8","207-43","N"," ","11470"," ","신월동"
" ","목동신시가지1","1985"," ","22.02.11","O","213,000","15","11","2021","중개거래","서울 양천구","91.26","9","901","N"," ","11470"," ","목동"
" ","삼익플라주","2006"," "," "," ","45,000","9","11","2021","중개거래","서울 양천구","60.873","1","1042","N"," ","11470"," ","신월동"
" ","신정숲속마을","2016"," "," "," ","82,500","7","11","2021","중개거래","서울 양천구","84.99","15","1324","N"," ","11470"," ","신정동"
" ","코아루1단지","2009"," "," "," ","62,500","20","11","2021","중개거래","서울 양천구","84.95","4","197-2","N"," ","11470"," ","신월동"
" ","학마을1단지","2000"," "," "," ","60,000","8","11","2021","중개거래","서울 양천구","49.99","1","1293","N"," ","11470"," ","신정동"
" ","온누리베일리","2016"," "," "," ","40,750","13","11","2021","중개거래","서울 양천구","56.04","6","207-43","N"," ","11470"," ","신월동"
" ","목동에버하임","2019"," "," "," ","41,000","18","11","2021","직거래"," ","41.06","3","966","N"," ","11470"," ","목동"
" ","목동신시가지8","1987"," "," "," ","149,000","5","11","2021","중개거래","서울 양천구","54.94","5","314","N"," ","11470"," ","신정동"
" ","래미안목동아델리체(101동~118동)","2021"," "," "," ","178,000","20","11","2021","중개거래","서울 양천구","84.94","22","1326","N"," ","11470"," ","신정동"
" ","성재세인트","2013"," "," "," ","26,800","13","11","2021","중개거래","서울 양천구","32.63","4","976-3","N"," ","11470"," ","신정동"
" ","벽산블루밍1단지","2003"," "," "," ","80,000","6","11","2021","중개거래","서울 양천구","59.9465","19","1022","N"," ","11470"," ","신월동"
