"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","대우트럼프월드Ⅰ","2002"," "," "," ","230,000","30","11","2021","중개거래","서울 영등포구","178.5","22","55-1","N"," ","11560"," ","여의도동"
" ","라르파크","2021"," "," "," ","45,600","27","11","2021","중개거래","서울 영등포구","30.3116","14","651","N"," ","11560"," ","영등포동"
" ","훼미리하우스117","2012"," "," "," ","13,000","26","11","2021","직거래"," ","16.9","5","94-51","N"," ","11560"," ","영등포동7가"
" ","우성1","1986"," "," "," ","122,500","23","11","2021","중개거래","서울 영등포구","83.64","3","365","N"," ","11560"," ","신길동"
" ","영등포푸르지오","2002"," "," "," ","119,000","23","11","2021","직거래"," ","79.777","3","647","N"," ","11560"," ","영등포동"
" ","신기목련아파트","2000"," "," "," ","70,000","27","11","2021","중개거래","서울 영등포구","59.4","11","4935","N"," ","11560"," ","신길동"
" ","삼환","1997"," "," "," ","94,500","29","11","2021","중개거래","서울 영등포구","59.53","25","897-1","N"," ","11560"," ","신길동"
" ","삼환","1997"," "," "," ","99,000","27","11","2021","중개거래","서울 영등포구","59.53","6","897-1","N"," ","11560"," ","신길동"
" ","당산현대5차","2000"," "," "," ","104,500","20","11","2021","중개거래","서울 영등포구","59.55","2","30-1","N"," ","11560"," ","당산동4가"
" ","양평벽산블루밍","1990"," "," "," ","82,500","24","11","2021","중개거래","서울 영등포구","59.58","6","23","N"," ","11560"," ","양평동2가"
" ","당산현대5차","2000"," "," "," ","115,000","23","11","2021","중개거래","서울 영등포구","59.37","4","30-1","N"," ","11560"," ","당산동4가"
" ","신길레전드힐스","2013"," "," "," ","10,000","23","11","2021","중개거래","서울 영등포구","13.74","8","261-22","N"," ","11560"," ","신길동"
" ","영등포푸르지오","2002"," "," "," ","124,000","20","11","2021","중개거래","서울 영등포구 서울 은평구","73.133","10","647","N"," ","11560"," ","영등포동"
" ","래미안영등포프레비뉴","2015"," "," "," ","127,000","27","11","2021","중개거래","서울 영등포구","59.99","13","4945","N"," ","11560"," ","신길동"
" ","아크로타워스퀘어","2017"," "," "," ","178,500","27","11","2021","중개거래","서울 영등포구","84.65","21","203","N"," ","11560"," ","영등포동7가"
" ","헤렌어반","2011"," "," "," ","10,000","25","11","2021","직거래"," ","14.512","2","144","N"," ","11560"," ","영등포동1가"
" ","헤렌어반","2011"," ","22.02.10","O","13,500","24","11","2021","직거래"," ","12.988","6","144","N"," ","11560"," ","영등포동1가"
" ","헤렌어반","2011"," "," "," ","13,500","25","11","2021","직거래"," ","13.216","5","144","N"," ","11560"," ","영등포동1가"
" ","신대림자이1단지","2007"," "," "," ","101,000","22","11","2021","중개거래","서울 영등포구","84.6","17","1121","N"," ","11560"," ","대림동"
" ","양평현대6차","2000"," "," "," ","97,500","19","11","2021","중개거래","서울 영등포구","59.98","11","101","N"," ","11560"," ","양평동3가"
