"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","리버뷰","1970"," "," "," ","147,000","8","9","2021"," "," ","135.77","8","300-27","N"," ","11170"," ","이촌동"
" ","리버힐삼성","2001"," "," "," ","133,000","29","9","2021"," "," ","84.98","11","193","N"," ","11170"," ","산천동"
" ","한강(대우)","2000"," "," "," ","269,000","6","9","2021"," "," ","134.13","10","415","N"," ","11170"," ","이촌동"
" ","한남아이파크애비뉴","2017"," "," "," ","118,000","27","9","2021"," "," ","47.8105","14","828","N"," ","11170"," ","한남동"
" ","한남더힐","2011"," "," "," ","700,000","28","9","2021"," "," ","208.478","2","810","N"," ","11170"," ","한남동"
" ","한남더힐","2011"," ","21.10.22","O","700,000","28","9","2021"," "," ","208.478","2","810","N"," ","11170"," ","한남동"
" ","현대하이페리온","2002"," "," "," ","350,000","30","9","2021"," "," ","197.22","8","805","N"," ","11170"," ","한남동"
" ","용산큐브","2013"," "," "," ","19,300","25","9","2021"," "," ","13.01","15","24-4","N"," ","11170"," ","문배동"
" ","현대안성타워","1998"," "," "," ","68,400","23","9","2021"," "," ","50.85","10","737-28","N"," ","11170"," ","한남동"
" ","용산큐브","2013"," "," "," ","18,900","24","9","2021"," "," ","13.01","14","24-4","N"," ","11170"," ","문배동"
" ","힐탑트레져1동","2003"," "," "," ","290,000","23","9","2021"," "," ","206.96","3","1-44","N"," ","11170"," ","한남동"
" ","대우월드마크용산","2007"," "," "," ","250,000","29","9","2021"," "," ","166.37","34","64","N"," ","11170"," ","한강로1가"
" ","강변","1971"," "," "," ","103,000","15","9","2021"," "," ","66.08","-1","193-3","N"," ","11170"," ","이촌동"
" ","르가든더메인한남","2019"," "," "," ","970,000","15","9","2021"," "," ","228.34","6","386","N"," ","11170"," ","한남동"
" ","삼성래미안","2001"," "," "," ","163,000","26","9","2021"," "," ","84.69","5","23","N"," ","11170"," ","도원동"
" ","주미","1973"," "," "," ","170,000","24","9","2021"," "," ","69.45","6","260-6","N"," ","11170"," ","보광동"
" ","현대맨숀","1974"," "," "," ","265,000","16","9","2021"," "," ","139.97","11","301-160","N"," ","11170"," ","이촌동"
" ","동부센트레빌","2001"," "," "," ","230,000","11","9","2021"," "," ","100.92","14","418","N"," ","11170"," ","이촌동"
" ","한강타운","2001"," "," "," ","95,000","25","9","2021"," "," ","59.69","4","204","N"," ","11170"," ","산천동"
" ","센트럴파크","2020"," "," "," ","325,000","13","9","2021"," "," ","114.8905","19","98","N"," ","11170"," ","한강로3가"
" ","용산시티파크(1단지)","2007"," "," "," ","550,000","15","9","2021"," "," ","242.26","41","63-389","N"," ","11170"," ","한강로3가"
" ","용산파크타워(24-0)","2009"," "," "," ","280,000","18","9","2021"," "," ","131.53","25","24","N"," ","11170"," ","용산동5가"
" ","우성","1995"," "," "," ","165,000","14","9","2021"," "," ","58.2","7","399-1","N"," ","11170"," ","이촌동"
" ","강변삼성스위트","1999"," "," "," ","156,500","18","9","2021"," "," ","72.84","11","178","N"," ","11170"," ","원효로4가"
" ","리첸시아용산B","2010"," "," "," ","152,000","9","9","2021"," "," ","84.98","16","40-31","N"," ","11170"," ","문배동"
" ","리버뷰","1970"," ","22.01.14","O","147,000","6","9","2021"," "," ","135.77","8","300-27","N"," ","11170"," ","이촌동"
" ","용산e편한세상","2011"," "," "," ","209,000","16","9","2021"," "," ","84.89","25","48","N"," ","11170"," ","신계동"
" ","아크로타워","2007"," "," "," ","145,000","10","9","2021"," "," ","84.97","21","24-21","N"," ","11170"," ","문배동"
" ","이촌코오롱(A)","1999"," "," "," ","227,000","20","9","2021"," "," ","84.78","10","412","N"," ","11170"," ","이촌동"
