"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","백련산힐스테이트4차","2018"," "," "," ","89,000","25","11","2021","중개거래","서울 은평구","59.98","4","764","N"," ","11380"," ","응암동"
" ","신사씨티","1993"," "," "," ","60,000","22","11","2021","중개거래","서울 은평구","82.71","7","297","N"," ","11380"," ","신사동"
" ","래미안베라힐즈","2019"," "," "," ","133,000","28","11","2021","중개거래","서울 은평구","84.95","7","283","N"," ","11380"," ","녹번동"
" ","정은노블스B","2006"," "," "," ","55,000","24","11","2021","중개거래","서울 은평구","83.66","5","23-53","N"," ","11380"," ","신사동"
" ","래미안베라힐즈","2019"," "," "," ","128,000","24","11","2021","중개거래","서울 은평구","84.95","14","283","N"," ","11380"," ","녹번동"
" ","백련산힐스테이트4차","2018"," ","22.01.06","O","89,000","25","11","2021","중개거래","서울 은평구","59.98","4","764","N"," ","11380"," ","응암동"
" ","래미안베라힐즈","2019"," "," "," ","127,000","27","11","2021","중개거래","서울 은평구","84.95","3","283","N"," ","11380"," ","녹번동"
" ","YS홈타운","2013"," "," "," ","9,900","25","11","2021","중개거래","서울 은평구","12.39","7","186-44","N"," ","11380"," ","대조동"
" ","역촌빌라트","2002"," "," "," ","23,500","8","11","2021","중개거래","서울 은평구","51.75","2","49-12","N"," ","11380"," ","역촌동"
" ","녹번2현대","2001"," "," "," ","86,000","27","11","2021","중개거래","서울 은평구","84.94","13","278-1","N"," ","11380"," ","녹번동"
" ","응암하이포롬","2003"," "," "," ","61,500","30","11","2021","중개거래","서울 은평구","84.99","7","117-22","N"," ","11380"," ","응암동"
" ","북한산래미안아파트(1단지)","2010"," "," "," ","115,000","23","11","2021","중개거래","서울 은평구","114.9986","8","638","N"," ","11380"," ","불광동"
" ","래미안베라힐즈","2019"," "," "," ","107,000","27","11","2021","중개거래","서울 은평구","59.99","5","283","N"," ","11380"," ","녹번동"
" ","녹번역e편한세상캐슬","2021"," "," "," ","137,500","30","11","2021","중개거래","서울 서대문구 서울 은평구","84.98","12","769","N"," ","11380"," ","응암동"
" ","백련산힐스테이트1차","2011"," "," "," ","81,500","20","11","2021","중개거래","서울 은평구","59.63","8","759","N"," ","11380"," ","응암동"
" ","응암역효성해링턴플레이스","2019"," "," "," ","97,850","6","11","2021","중개거래","서울 동대문구 서울 은평구","75.72","12","372","N"," ","11380"," ","신사동"
" ","응암역효성해링턴플레이스","2019"," "," "," ","84,500","15","11","2021","중개거래","서울 은평구","59.94","5","372","N"," ","11380"," ","신사동"
" ","박석고개1단지힐스테이트(101~111동)BL2-12","2009"," "," "," ","95,000","24","11","2021","중개거래","서울 은평구","59.85","10","101","N"," ","11380"," ","진관동"
" ","신사성원","2000"," "," "," ","56,000","22","11","2021","중개거래","서울 은평구","59.94","3","360","N"," ","11380"," ","신사동"
" ","녹번JR아파트","2002"," "," "," ","75,000","26","11","2021","중개거래","서울 은평구","59.866","10","280-1","N"," ","11380"," ","녹번동"
" ","정익제이원5차","2016"," "," "," ","29,200","15","11","2021","중개거래","서울 은평구","22.14","11","486-14","N"," ","11380"," ","불광동"
" ","신사동한신휴플러스","2003"," "," "," ","73,300","19","11","2021","중개거래","서울 은평구","59.76","9","365","N"," ","11380"," ","신사동"
" ","애필리움","2006"," "," "," ","73,500","30","11","2021","중개거래","서울 은평구","84.96","5","113-35","N"," ","11380"," ","응암동"
" ","신사성원","2000"," "," "," ","59,000","15","11","2021","중개거래","서울 은평구","59.94","11","360","N"," ","11380"," ","신사동"
" ","응암푸르지오","2008"," "," "," ","71,000","23","11","2021","중개거래","서울 은평구","59.58","4","176","N"," ","11380"," ","응암동"
" ","제이타워4","2013"," "," "," ","11,000","16","11","2021","중개거래","서울 은평구","12.2","7","9-50","N"," ","11380"," ","대조동"
" ","임탑(12-1)100동","2004"," "," "," ","42,000","15","11","2021","중개거래","서울 은평구","84.55","3","12-1","N"," ","11380"," ","신사동"
" ","연신내역트리플라101동","2021"," "," "," ","46,000","19","11","2021","직거래"," ","29.84","10","484-63","N"," ","11380"," ","불광동"
" ","연신내역트리플라101동","2021"," "," "," ","46,500","18","11","2021","직거래"," ","29.84","8","484-63","N"," ","11380"," ","불광동"
" ","벨뷰아파트","2021"," "," "," ","44,700","11","11","2021","직거래"," ","48.84","3","321-28","N"," ","11380"," ","구산동"
" ","더위일","2017"," "," "," ","62,500","17","11","2021","중개거래","서울 은평구","58.77","8","81-173","N"," ","11380"," ","응암동"
" ","대림e-편한세상2","2004"," "," "," ","69,300","13","11","2021","중개거래","서울 은평구","84.618","1","546","N"," ","11380"," ","구산동"
" ","상림마을7단지아이파크(709~712동)BL1-10","2008"," "," "," ","97,000","6","11","2021","중개거래","서울 은평구","84.83","4","12","N"," ","11380"," ","진관동"
" ","힐스테이트녹번","2019"," "," "," ","125,000","4","11","2021","중개거래","서울 은평구","84.9","7","282","N"," ","11380"," ","녹번동"
" ","삼영노블레스","2010"," "," "," ","60,000","15","11","2021","중개거래","서울 은평구","67.99","6","76-2","N"," ","11380"," ","응암동"
" ","서안","2003"," "," "," ","41,300","6","11","2021","중개거래","서울 은평구","84.48","2","32-37","N"," ","11380"," ","역촌동"
" ","백련산에스케이뷰아이파크","2020"," "," "," ","114,000","8","11","2021","중개거래","서울 은평구","84.9039","3","767","N"," ","11380"," ","응암동"
" ","만민하늘애2차","2008"," "," "," ","70,000","26","11","2021","중개거래","서울 은평구","83.99","5","42-7","N"," ","11380"," ","역촌동"
" ","프라임팰리스","2003"," "," "," ","51,500","14","11","2021","중개거래","서울 은평구","71.16","5","111-48","N"," ","11380"," ","응암동"
" ","백련산해모로","2020"," "," "," ","90,000","6","11","2021","중개거래","서울 은평구","59.93","13","768","N"," ","11380"," ","응암동"
" ","에덴드림","2004"," "," "," ","41,000","10","11","2021","중개거래","서울 은평구","84.84","3","14-21","N"," ","11380"," ","구산동"
" ","백련산힐스테이트4차","2018"," "," "," ","115,000","19","11","2021","중개거래","서울 은평구","84.98","7","764","N"," ","11380"," ","응암동"
" ","e편한세상 수색 에코포레","2003"," "," "," ","105,000","30","11","2021","중개거래","서울 은평구","114.18","12","415-1","N"," ","11380"," ","수색동"
" ","정익제이원(4차)","2015"," "," "," ","38,000","6","11","2021","중개거래","서울 은평구","24.39","12","484-56","N"," ","11380"," ","불광동"
" ","목화","2001"," "," "," ","68,000","5","11","2021","중개거래","서울 은평구","84.93","4","164-5","N"," ","11380"," ","증산동"
" ","북한산래미안아파트(2단지)","2010"," "," "," ","111,500","6","11","2021","중개거래","서울 은평구","84.9885","12","637","N"," ","11380"," ","불광동"
" ","정익제이원(4차)","2015"," "," "," ","25,000","30","11","2021","직거래"," ","23.96","8","484-56","N"," ","11380"," ","불광동"
" ","DH팰리스타워","2020"," "," "," ","47,500","26","11","2021","중개거래","서울 은평구","38.51","13","83-26","N"," ","11380"," ","녹번동"
" ","위산엘리시움","2015"," "," "," ","49,000","18","11","2021","중개거래","서울 은평구","56.5","5","17-28","N"," ","11380"," ","역촌동"
" ","백련산에스케이뷰아이파크","2020"," "," "," ","94,000","13","11","2021","중개거래","서울 은평구","59.8545","6","767","N"," ","11380"," ","응암동"
" ","한성산장","1992"," "," "," ","63,000","4","11","2021","중개거래","서울 은평구","120","5","169-1","N"," ","11380"," ","구산동"
" ","백련산에스케이뷰아이파크","2020"," "," "," ","95,000","8","11","2021","중개거래","서울 은평구","59.9335","18","767","N"," ","11380"," ","응암동"
