"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","창신쌍용2","1993"," "," "," ","64,900","28","5","2021"," "," ","54.7","11","703","N"," ","11110"," ","창신동"
" ","창신쌍용2","1993"," "," "," ","61,000","31","5","2021"," "," ","54.7","2","703","N"," ","11110"," ","창신동"
" ","두산","1999"," "," "," ","79,500","25","5","2021"," "," ","59.95","2","232","N"," ","11110"," ","창신동"
" ","대성아파트","1971"," "," "," ","21,500","28","5","2021"," "," ","30.28","3","41-1","N"," ","11110"," ","행촌동"
" ","창신쌍용2","1993"," "," "," ","62,900","22","5","2021"," "," ","54.7","2","703","N"," ","11110"," ","창신동"
" ","현대","2000"," "," "," ","126,990","21","5","2021"," "," ","84.92","14","82","N"," ","11110"," ","무악동"
" ","인왕산아이파크","2008"," "," "," ","129,000","24","5","2021"," "," ","84.858","1","60","N"," ","11110"," ","무악동"
" ","창신쌍용2","1993"," "," "," ","68,800","26","5","2021"," "," ","64.66","12","703","N"," ","11110"," ","창신동"
" ","삼성","1998"," "," "," ","74,500","23","5","2021"," "," ","84.93","12","596","N"," ","11110"," ","평창동"
" ","경희궁자이(3단지)","2017"," "," "," ","197,000","15","5","2021"," "," ","84.836","16","233","N"," ","11110"," ","평동"
" ","벽산블루밍평창힐스","2004"," "," "," ","155,000","29","5","2021"," "," ","210.53","4","45","N"," ","11110"," ","평창동"
" ","인왕산아이파크","2008"," "," "," ","115,000","23","5","2021"," "," ","59.993","6","60","N"," ","11110"," ","무악동"
" ","롯데캐슬로잔","2009"," "," "," ","210,000","28","5","2021"," "," ","238.858","5","108","N"," ","11110"," ","평창동"
" ","아남1","1995"," "," "," ","123,000","14","5","2021"," "," ","84.9","13","4","N"," ","11110"," ","명륜2가"
" ","아남1","1995"," "," "," ","120,000","10","5","2021"," "," ","84.9","11","4","N"," ","11110"," ","명륜2가"
" ","대성스카이렉스","2008"," "," "," ","80,000","8","5","2021"," "," ","116.03","14","110","N"," ","11110"," ","견지동"
" ","숭인모범102동","2000"," "," "," ","36,000","21","5","2021"," "," ","59.74","6","569-5","N"," ","11110"," ","숭인동"
" ","창신쌍용2","1993"," "," "," ","77,500","8","5","2021"," "," ","79.87","12","703","N"," ","11110"," ","창신동"
" ","신문로맨션","1981"," "," "," ","78,000","16","5","2021"," "," ","91.53","9","238","N"," ","11110"," ","신문로1가"
" ","인왕산아이파크","2008"," "," "," ","142,000","1","5","2021"," "," ","84.858","11","60","N"," ","11110"," ","무악동"
" ","경희궁자이(3단지)","2017"," "," "," ","160,000","19","5","2021"," "," ","59.471","5","233","N"," ","11110"," ","평동"
" ","효자","1999"," "," "," ","32,000","13","5","2021"," "," ","61.49","3","5-1","N"," ","11110"," ","통인동"
" ","경희궁자이(3단지)","2017"," "," "," ","157,000","14","5","2021"," "," ","59.855","14","233","N"," ","11110"," ","평동"
" ","현대뜨레비앙","2003"," "," "," ","30,000","24","5","2021"," "," ","45.5","8","55","N"," ","11110"," ","익선동"
" ","경희궁자이(2단지)","2017"," "," "," ","185,000","8","5","2021"," "," ","84.614","8","199","N"," ","11110"," ","홍파동"
" ","광화문스페이스본(101동~105동)","2008"," "," "," ","177,700","24","5","2021"," "," ","151.81","8","9","N"," ","11110"," ","사직동"
" ","경희궁자이(3단지)","2017"," "," "," ","240,000","11","5","2021"," "," ","116.938","7","233","N"," ","11110"," ","평동"
" ","현대뜨레비앙","2003"," "," "," ","31,700","3","5","2021"," "," ","46.64","5","55","N"," ","11110"," ","익선동"
" ","현대뜨레비앙","2003"," "," "," ","29,000","19","5","2021"," "," ","43.98","7","55","N"," ","11110"," ","익선동"
" ","창신이수","2003"," "," "," ","84,800","19","5","2021"," "," ","84.5","5","23-816","N"," ","11110"," ","창신동"
" ","버넷하임1","2013"," "," "," ","12,000","17","5","2021"," "," ","17.96","14","1421","N"," ","11110"," ","숭인동"
" ","종로청계힐스테이트","2009"," "," "," ","110,000","8","5","2021"," "," ","114.7153","5","766","N"," ","11110"," ","숭인동"
" ","현대뜨레비앙","2003"," "," "," ","26,100","9","5","2021"," "," ","36.08","8","55","N"," ","11110"," ","익선동"
" ","대성아파트","1971"," "," "," ","18,000","5","5","2021"," "," ","30.28","1","41-1","N"," ","11110"," ","행촌동"
