"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","현대","1993"," "," "," ","90,000","7","11","2021","중개거래","서울 성동구","66.6","15","840","N"," ","11140"," ","신당동"
" ","남산타운","2002"," "," "," ","116,000","27","11","2021","중개거래","서울 중구","59.94","14","844","N"," ","11140"," ","신당동"
" ","신당KCC스위첸","2019"," "," "," ","125,000","26","11","2021","중개거래","서울 성동구","59.7807","7","856","N"," ","11140"," ","신당동"
" ","장충","1981"," "," "," ","12,500","22","11","2021","중개거래","서울 중구","31.24","6","193-29","N"," ","11140"," ","장충동2가"
" ","충무로엘크루메크로시티2차","2016"," "," "," ","31,400","20","11","2021","중개거래","서울 중구","35.55","2","36-2","N"," ","11140"," ","충무로5가"
" ","청구e편한세상","2011"," ","22.04.11","O","155,000","18","11","2021","중개거래","서울 서초구","84.95","9","852","N"," ","11140"," ","신당동"
" ","란스미어","2003"," "," "," ","68,500","25","11","2021","중개거래","서울 성동구","75.85","4","404-2","N"," ","11140"," ","신당동"
" ","청구e편한세상","2011"," "," "," ","159,000","17","11","2021","중개거래","서울 중구","84.95","10","852","N"," ","11140"," ","신당동"
" ","약수하이츠","1999"," "," "," ","122,000","11","11","2021","중개거래","서울 중구","84.88","16","842","N"," ","11140"," ","신당동"
" ","인성아트빌","2001"," "," "," ","18,700","15","11","2021","중개거래","서울 중구","59.72","2","432-502","N"," ","11140"," ","신당동"
" ","삼정아트테라스정동","2020"," "," "," ","49,000","6","11","2021","중개거래","서울 종로구","36.7834","2","37","N"," ","11140"," ","정동"
" ","약수하이츠","1999"," "," "," ","150,000","10","11","2021","중개거래","서울 강남구 서울 중구","84.88","17","842","N"," ","11140"," ","신당동"
" ","롯데캐슬","2008"," "," "," ","125,000","13","11","2021","중개거래","서울 중구","84.97","25","2545","N"," ","11140"," ","황학동"
" ","한양I-Class","2013"," "," "," ","12,500","10","11","2021","중개거래","서울 성동구 서울 중구","16.37","13","787","N"," ","11140"," ","황학동"
" ","DUO302","2014"," "," "," ","15,700","9","11","2021","중개거래","서울 성동구 서울 중구","15.97","18","819","N"," ","11140"," ","황학동"
" ","신당아르브","2014"," ","21.11.20","O","14,000","3","11","2021","직거래"," ","18.08","3","160-5","N"," ","11140"," ","신당동"
" ","묵정","1981"," "," "," ","54,400","1","11","2021","중개거래","서울 중구","52.46","8","11-67","N"," ","11140"," ","묵정동"
" ","현대","1993"," "," "," ","120,000","4","11","2021","중개거래","서울 마포구 서울 성동구","139.275","2","840","N"," ","11140"," ","신당동"
" ","삼정아트테라스정동","2020"," "," "," ","20,000","3","11","2021","직거래"," ","14.9024","2","37","N"," ","11140"," ","정동"
