"aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
" ","성원","1994"," "," "," ","72,000","15","6","2021"," "," ","84.32","20","783","N"," ","11260"," ","신내동"
" ","쌍용더플래티넘용마산","2020"," "," "," ","112,000","17","6","2021"," "," ","75.058","8","1548","N"," ","11260"," ","면목동"
" ","삼익아파트.상가동","1995"," "," "," ","49,000","22","6","2021"," "," ","59.34","9","438","N"," ","11260"," ","중화동"
" ","예원캐슬","2012"," "," "," ","23,000","24","6","2021"," "," ","38.56","11","508-34","N"," ","11260"," ","망우동"
" ","면목삼호101","2000"," "," "," ","59,000","26","6","2021"," "," ","59.67","3","1513","N"," ","11260"," ","면목동"
" ","신내9진흥","1996"," "," "," ","38,500","23","6","2021"," "," ","33.18","5","657","N"," ","11260"," ","신내동"
" ","신내","1996"," "," "," ","60,000","23","6","2021"," "," ","59.76","1","13","N"," ","11260"," ","묵동"
" ","고덕골든빌(101동)","2012"," "," "," ","74,500","24","6","2021"," "," ","74.94","11","168-8","N"," ","11260"," ","묵동"
" ","신성","1998"," "," "," ","59,500","25","6","2021"," "," ","59.91","16","1519","N"," ","11260"," ","면목동"
" ","경남","1989"," "," "," ","49,800","25","6","2021"," "," ","59.94","5","226","N"," ","11260"," ","망우동"
" ","신내9진흥","1996"," ","21.08.05","O","38,500","23","6","2021"," "," ","33.18","5","657","N"," ","11260"," ","신내동"
" ","신안1","1999"," "," "," ","62,000","28","6","2021"," "," ","59.96","12","381","N"," ","11260"," ","묵동"
" ","신내9진흥","1996"," "," "," ","35,000","26","6","2021"," "," ","33.18","10","657","N"," ","11260"," ","신내동"
" ","용마산금호어울림","2006"," "," "," ","77,500","30","6","2021"," "," ","67.663","11","1525","N"," ","11260"," ","면목동"
" ","한신아파트상가동유치원동(103~109)","1997"," "," "," ","66,000","26","6","2021"," "," ","59.76","1","450","N"," ","11260"," ","중화동"
" ","동성3","1997"," "," "," ","58,700","28","6","2021"," "," ","59.4","10","618","N"," ","11260"," ","신내동"
" ","중랑숲리가","2012"," "," "," ","67,000","9","6","2021"," "," ","110.918","8","583","N"," ","11260"," ","망우동"
" ","한신아파트상가동유치원동(103~109)","1997"," "," "," ","64,500","26","6","2021"," "," ","50.37","5","450","N"," ","11260"," ","중화동"
" ","동성1","1993"," "," "," ","58,000","26","6","2021"," "," ","59.4","15","397","N"," ","11260"," ","신내동"
" ","면목한신","1987"," "," "," ","52,000","14","6","2021"," "," ","45.44","10","193-1","N"," ","11260"," ","면목동"
" ","석탑","1997"," "," "," ","65,000","26","6","2021"," "," ","84.6","9","787","N"," ","11260"," ","신내동"
" ","중랑숲리가","2012"," "," "," ","74,700","4","6","2021"," "," ","84.964","3","583","N"," ","11260"," ","망우동"
" ","한일써너스빌리젠시1단지(101동)","2008"," "," "," ","97,000","26","6","2021"," "," ","84.69","15","479","N"," ","11260"," ","망우동"
" ","월등스카이뷰","2004"," "," "," ","61,500","17","6","2021"," "," ","102.658","11","170-27","N"," ","11260"," ","묵동"
" ","동부아파트","1999"," "," "," ","61,500","23","6","2021"," "," ","54","9","495","N"," ","11260"," ","상봉동"
" ","면목한신","1987"," "," "," ","63,500","30","6","2021"," "," ","58.46","10","193-1","N"," ","11260"," ","면목동"
" ","중화동건영아파트","1998"," "," "," ","45,000","26","6","2021"," "," ","59.85","11","42","N"," ","11260"," ","중화동"
" ","엘지,쌍용아파트","1996"," "," "," ","66,500","21","6","2021"," "," ","68.12","2","484","N"," ","11260"," ","상봉동"
" ","한신아파트상가동유치원동(103~109)","1997"," "," "," ","85,000","30","6","2021"," "," ","84.69","8","450","N"," ","11260"," ","중화동"
" ","한일써너스빌","2003"," "," "," ","98,500","24","6","2021"," "," ","84.848","10","81-5","N"," ","11260"," ","상봉동"
" ","개나리","1988"," "," "," ","32,500","26","6","2021"," "," ","41.88","1","213-3","N"," ","11260"," ","망우동"
" ","이편한세상화랑대","2017"," "," "," ","111,500","17","6","2021"," "," ","84.956","6","396","N"," ","11260"," ","묵동"
" ","예성그린캐슬","2004"," "," "," ","45,000","25","6","2021"," "," ","58.9","2","577","N"," ","11260"," ","망우동"
" ","광남","2000"," "," "," ","39,500","29","6","2021"," "," ","44.45","2","799","N"," ","11260"," ","신내동"
" ","한신아파트상가동유치원동(103~109)","1997"," "," "," ","62,000","25","6","2021"," "," ","50.37","3","450","N"," ","11260"," ","중화동"
" ","신내9진흥","1996"," "," "," ","51,800","30","6","2021"," "," ","49.93","2","657","N"," ","11260"," ","신내동"
" ","데시앙","2010"," "," "," ","94,000","19","6","2021"," "," ","84.45","11","317","N"," ","11260"," ","신내동"
" ","엘지,쌍용아파트","1996"," "," "," ","69,500","19","6","2021"," "," ","68.12","9","484","N"," ","11260"," ","상봉동"
" ","신내6대주","1996"," "," "," ","56,900","27","6","2021"," "," ","49.77","2","650","N"," ","11260"," ","신내동"
" ","하늘빛아파트","2011"," "," "," ","60,000","19","6","2021"," "," ","84.96","2","121-302","N"," ","11260"," ","묵동"
" ","사가정센트럴아이파크","2020"," "," "," ","140,000","19","6","2021"," "," ","84.87","25","1545","N"," ","11260"," ","면목동"
" ","두산5","2000"," "," "," ","75,000","24","6","2021"," "," ","59.72","23","1522-1","N"," ","11260"," ","면목동"
" ","늘푸른동아","2002"," "," "," ","69,000","26","6","2021"," "," ","59.65","11","715","N"," ","11260"," ","면목동"
" ","늘푸른동아","2002"," "," "," ","85,300","26","6","2021"," "," ","84.97","9","715","N"," ","11260"," ","면목동"
" ","성원","1994"," "," "," ","69,200","19","6","2021"," "," ","84.4","6","783","N"," ","11260"," ","신내동"
" ","금호어울림(580)","2006"," "," "," ","74,000","12","6","2021"," "," ","84.94","6","580","N"," ","11260"," ","망우동"
" ","가야써니빌","2002"," "," "," ","62,700","21","6","2021"," "," ","84.92","6","576","N"," ","11260"," ","망우동"
" ","주함해븐(101동)","2011"," "," "," ","35,000","19","6","2021"," "," ","50.625","6","582","N"," ","11260"," ","망우동"
" ","건영2차아파트","1996"," "," "," ","83,000","30","6","2021"," "," ","84.96","25","63","N"," ","11260"," ","상봉동"
" ","화성.두산아파트","1995"," "," "," ","70,000","26","6","2021"," "," ","66.96","15","656","N"," ","11260"," ","신내동"
" ","경남","1989"," "," "," ","44,500","25","6","2021"," "," ","52.71","1","226","N"," ","11260"," ","망우동"
" ","영풍마드레빌","2004"," "," "," ","73,700","9","6","2021"," "," ","84.8485","23","801","N"," ","11260"," ","신내동"
" ","동성1","1993"," "," "," ","58,000","26","6","2021"," "," ","59.4","8","397","N"," ","11260"," ","신내동"
" ","동성3","1997"," "," "," ","59,000","19","6","2021"," "," ","59.4","8","618","N"," ","11260"," ","신내동"
" ","면목한신","1987"," "," "," ","50,000","20","6","2021"," "," ","44.5","2","193-1","N"," ","11260"," ","면목동"
" ","우정아파트","2002"," "," "," ","86,000","18","6","2021"," "," ","81.783","6","496","N"," ","11260"," ","상봉동"
" ","한신아파트상가동유치원동(103~109)","1997"," "," "," ","71,000","11","6","2021"," "," ","59.76","16","450","N"," ","11260"," ","중화동"
" ","두산4","2000"," "," "," ","84,700","12","6","2021"," "," ","84.86","12","1522","N"," ","11260"," ","면목동"
" ","성원","1994"," "," "," ","71,500","28","6","2021"," "," ","84.32","14","783","N"," ","11260"," ","신내동"
" ","삼익아파트.상가동","1995"," "," "," ","57,000","27","6","2021"," "," ","59.82","5","438","N"," ","11260"," ","중화동"
" ","건영2차","1996"," "," "," ","78,000","26","6","2021"," "," ","74.25","25","785","N"," ","11260"," ","신내동"
" ","건영2차아파트","1996"," "," "," ","81,000","22","6","2021"," "," ","84.96","13","63","N"," ","11260"," ","상봉동"
" ","면목한신","1987"," "," "," ","37,000","17","6","2021"," "," ","35.3","3","193-1","N"," ","11260"," ","면목동"
" ","데시앙","2010"," "," "," ","76,000","28","6","2021"," "," ","59.99","10","317","N"," ","11260"," ","신내동"
" ","중앙하이츠","1996"," "," "," ","65,900","15","6","2021"," "," ","84.97","15","479","N"," ","11260"," ","신내동"
" ","건영2차","1996"," "," "," ","64,800","18","6","2021"," "," ","57.3","22","785","N"," ","11260"," ","신내동"
" ","예원캐슬","2012"," "," "," ","23,000","9","6","2021"," "," ","38.56","6","508-34","N"," ","11260"," ","망우동"
" ","청원다미소","2004"," "," "," ","76,300","10","6","2021"," "," ","84.82","12","286-22","N"," ","11260"," ","중화동"
" ","면목한신","1987"," "," "," ","75,000","19","6","2021"," "," ","84.92","8","193-1","N"," ","11260"," ","면목동"
" ","신성","1998"," "," "," ","60,000","29","6","2021"," "," ","59.91","10","1519","N"," ","11260"," ","면목동"
" ","면목한신","1987"," "," "," ","64,000","19","6","2021"," "," ","58.46","13","193-1","N"," ","11260"," ","면목동"
" ","신내우디안1단지","2014"," "," "," ","85,000","12","6","2021"," "," ","84.65","17","816","N"," ","11260"," ","신내동"
" ","신내 데시앙포레","2013"," "," "," ","70,000","10","6","2021"," "," ","59.78","2","817","N"," ","11260"," ","신내동"
" ","신도브래뉴","2004"," "," "," ","49,400","22","6","2021"," "," ","51.86","10","169-10","N"," ","11260"," ","묵동"
" ","용마금호타운","1992"," "," "," ","76,500","12","6","2021"," "," ","84.9","9","494","N"," ","11260"," ","면목동"
" ","용마동아","1993"," "," "," ","72,000","19","6","2021"," "," ","84.87","4","1499","N"," ","11260"," ","면목동"
" ","용마한신","1990"," "," "," ","72,000","10","6","2021"," "," ","82.39","13","1077-1","N"," ","11260"," ","면목동"
" ","동성3","1997"," "," "," ","74,500","10","6","2021"," "," ","84.08","16","618","N"," ","11260"," ","신내동"
" ","신내우디안1단지","2014"," "," "," ","82,500","17","6","2021"," "," ","84.94","2","816","N"," ","11260"," ","신내동"
" ","신내9진흥","1996"," "," "," ","56,000","11","6","2021"," "," ","49.93","9","657","N"," ","11260"," ","신내동"
" ","한신아파트상가동유치원동(103~109)","1997"," "," "," ","62,500","5","6","2021"," "," ","50.37","24","450","N"," ","11260"," ","중화동"
" ","성원","1994"," ","22.01.27","O","72,000","15","6","2021"," "," ","84.32","20","783","N"," ","11260"," ","신내동"
" ","세방","2000"," "," "," ","59,700","15","6","2021"," "," ","59.94","13","383","N"," ","11260"," ","묵동"
" ","신내","1996"," "," "," ","53,500","21","6","2021"," "," ","49.77","3","13","N"," ","11260"," ","묵동"
" ","데시앙","2010"," "," "," ","85,500","12","6","2021"," "," ","84.82","1","317","N"," ","11260"," ","신내동"
" ","중랑숲리가","2012"," "," "," ","66,500","12","6","2021"," "," ","59.89","10","583","N"," ","11260"," ","망우동"
